species,class,order,weight_kg,length_cm,conservation_status
Mention series,Reptilia,Rodentia,3021.017,2779.34,Endangered
Perhaps nothing,Mammalia,Anura,2763.996,1961.65,Endangered
Event better,Reptilia,Rodentia,3214.549,2076.78,Extinct in the Wild
Change beat,Mammalia,Squamata,1514.32,179.98,Critically Endangered
Movie walk,Mammalia,Anura,2448.18,2979.79,Critically Endangered
Begin rate,Mammalia,Primates,4787.982,506.74,Critically Endangered
Remember partner,Actinopterygii,Primates,397.281,2790.02,Endangered
Doctor set,Mammalia,Rodentia,603.752,869.52,Near Threatened
Director wrong,Actinopterygii,Rodentia,3451.507,1029.33,Extinct in the Wild
Democratic sit,Actinopterygii,Passeriformes,2155.161,2450.16,Extinct in the Wild
Bring majority,Amphibia,Rodentia,2097.762,2063.24,Critically Endangered
You memory,Amphibia,Passeriformes,1497.506,2330.79,Critically Endangered
Focus return,Amphibia,Passeriformes,1221.631,142.06,Least Concern
Strategy have,Reptilia,Rodentia,2352.324,643.95,Extinct in the Wild
Discover boy,Actinopterygii,Primates,2234.421,1824.73,Vulnerable
Most business,Amphibia,Passeriformes,3789.207,2855.41,Extinct in the Wild
Computer bar,Amphibia,Anura,4521.047,719.54,Extinct in the Wild
Economy those,Mammalia,Primates,4131.078,81.76,Extinct in the Wild
Too perhaps,Aves,Passeriformes,618.219,1839.88,Extinct in the Wild
Ago catch,Reptilia,Squamata,4946.206,1820.82,Endangered
Surface cup,Aves,Primates,1793.024,1110.86,Vulnerable
Bill quickly,Reptilia,Squamata,1703.625,1112.19,Vulnerable
Performance this,Reptilia,Passeriformes,3524.611,2940.46,Endangered
Yeah anyone,Actinopterygii,Squamata,2959.383,542.49,Least Concern
Support actually,Actinopterygii,Carnivora,2795.809,1230.42,Vulnerable
Choice though,Aves,Anura,1085.467,484.77,Least Concern
Culture side,Actinopterygii,Rodentia,1991.298,1274.3,Vulnerable
Run experience,Aves,Carnivora,3464.895,2167.77,Vulnerable
Room radio,Amphibia,Squamata,2791.116,2159.0,Least Concern
Pull chance,Mammalia,Carnivora,2148.799,1482.31,Least Concern
Century he,Aves,Rodentia,3368.886,2251.23,Near Threatened
Piece source,Actinopterygii,Anura,3717.945,734.67,Near Threatened
Her agreement,Amphibia,Squamata,3922.002,1143.46,Vulnerable
Size painting,Actinopterygii,Carnivora,4279.683,2862.23,Critically Endangered
Magazine morning,Aves,Rodentia,3240.778,2512.4,Extinct in the Wild
Decide window,Amphibia,Carnivora,4809.012,262.16,Critically Endangered
Foot age,Mammalia,Passeriformes,4343.124,121.61,Extinct in the Wild
Both fly,Mammalia,Passeriformes,1471.089,2999.62,Vulnerable
Base finally,Amphibia,Rodentia,2901.16,1233.73,Critically Endangered
No base,Actinopterygii,Carnivora,2609.348,840.9,Extinct in the Wild
Late prevent,Actinopterygii,Squamata,866.588,476.85,Least Concern
Though by,Mammalia,Squamata,3257.395,259.47,Endangered
Season develop,Mammalia,Carnivora,1560.948,288.93,Near Threatened
Design sea,Actinopterygii,Squamata,4393.72,2636.44,Near Threatened
Cover majority,Actinopterygii,Carnivora,1407.719,553.65,Critically Endangered
Along sea,Actinopterygii,Anura,2173.82,599.03,Critically Endangered
Talk outside,Aves,Anura,4177.046,1.01,Extinct in the Wild
Between security,Reptilia,Carnivora,650.407,468.35,Endangered
Assume fund,Aves,Carnivora,256.711,2797.74,Vulnerable
Side reality,Actinopterygii,Passeriformes,4992.293,2974.27,Near Threatened
Style field,Amphibia,Primates,4312.926,2840.7,Near Threatened
Significant another,Aves,Primates,215.629,270.98,Endangered
Long quickly,Mammalia,Anura,2402.364,2390.72,Extinct in the Wild
Seat price,Aves,Anura,4446.452,2400.65,Critically Endangered
Tend condition,Amphibia,Anura,706.375,738.26,Near Threatened
Own material,Reptilia,Anura,4611.858,665.74,Critically Endangered
Middle arm,Amphibia,Squamata,2785.467,2415.88,Vulnerable
Seat since,Reptilia,Anura,570.779,1636.39,Extinct in the Wild
Commercial small,Aves,Squamata,2835.084,2064.74,Least Concern
Step across,Reptilia,Anura,997.362,374.21,Least Concern
Deal ago,Amphibia,Squamata,461.879,2153.14,Near Threatened
Either weight,Reptilia,Passeriformes,4341.976,2830.22,Near Threatened
It report,Aves,Carnivora,4417.419,561.14,Endangered
Lay loss,Aves,Anura,3100.705,2599.86,Near Threatened
Successful kid,Amphibia,Primates,4762.552,1273.79,Endangered
Part line,Amphibia,Carnivora,3276.183,512.57,Extinct in the Wild
Enough difference,Amphibia,Primates,437.7,888.53,Least Concern
American white,Actinopterygii,Passeriformes,3522.112,2718.95,Near Threatened
Collection fire,Mammalia,Carnivora,754.074,392.03,Near Threatened
True who,Actinopterygii,Anura,3590.215,2862.95,Least Concern
Assume from,Mammalia,Rodentia,4994.693,1021.06,Vulnerable
Win join,Reptilia,Carnivora,1812.529,957.84,Least Concern
Exist nor,Mammalia,Passeriformes,2756.255,2657.62,Vulnerable
Shake hospital,Reptilia,Carnivora,2096.28,1439.41,Near Threatened
Cold claim,Actinopterygii,Squamata,1473.127,2068.94,Vulnerable
Game pay,Aves,Primates,4354.624,2625.06,Extinct in the Wild
Hold style,Amphibia,Primates,2442.639,2734.4,Critically Endangered
Part yourself,Aves,Carnivora,1335.172,239.19,Least Concern
Subject past,Actinopterygii,Rodentia,3674.481,18.99,Critically Endangered
Turn argue,Actinopterygii,Carnivora,2780.595,313.41,Near Threatened
Let arrive,Reptilia,Squamata,3861.374,2937.22,Least Concern
Policy floor,Aves,Primates,2311.897,2750.47,Least Concern
Imagine effect,Mammalia,Anura,4181.911,163.94,Endangered
Program open,Actinopterygii,Carnivora,3971.403,293.57,Endangered
Available the,Mammalia,Squamata,4586.835,955.29,Near Threatened
It make,Actinopterygii,Carnivora,1454.498,12.45,Critically Endangered
Inside like,Reptilia,Anura,2885.357,277.72,Vulnerable
Citizen big,Amphibia,Primates,2312.709,1130.25,Critically Endangered
Commercial civil,Actinopterygii,Passeriformes,4946.467,1286.45,Extinct in the Wild
Remain specific,Aves,Rodentia,4530.582,582.68,Vulnerable
Certain ahead,Amphibia,Passeriformes,1557.144,534.01,Endangered
Even TV,Mammalia,Anura,2003.815,2494.56,Extinct in the Wild
Gun song,Amphibia,Anura,2890.341,2920.66,Near Threatened
Force child,Mammalia,Squamata,560.267,1592.25,Vulnerable
Care bar,Reptilia,Rodentia,863.449,2688.85,Extinct in the Wild
Office worker,Mammalia,Carnivora,3462.981,2744.16,Near Threatened
Charge measure,Actinopterygii,Carnivora,1872.092,1881.74,Endangered
Let care,Amphibia,Squamata,172.692,1416.67,Critically Endangered
Understand detail,Aves,Primates,3349.015,2791.32,Near Threatened
Free operation,Mammalia,Anura,1005.313,368.78,Endangered
Thing spring,Actinopterygii,Passeriformes,267.254,1452.65,Vulnerable
Change key,Aves,Anura,1357.58,667.53,Critically Endangered
