species,class,order,weight_kg,length_cm,conservation_status
Thank ground,Mammalia,Passeriformes,788.354,1356.31,Critically Endangered
Whatever prove,Actinopterygii,Rodentia,1680.476,820.07,Endangered
Town decide,Aves,Primates,3641.998,879.48,Extinct in the Wild
Newspaper well,Amphibia,Passeriformes,1789.487,2762.6,Critically Endangered
Week during,Actinopterygii,Carnivora,3539.021,790.97,Critically Endangered
Under under,Aves,Squamata,2878.445,275.31,Near Threatened
Night include,Mammalia,Rodentia,4405.108,2667.68,Vulnerable
Morning race,Actinopterygii,Carnivora,4265.253,2040.14,Endangered
Employee also,Amphibia,Rodentia,1530.58,1396.0,Least Concern
It lot,Amphibia,Passeriformes,4565.272,2860.11,Near Threatened
Heart service,Amphibia,Passeriformes,2561.509,2397.33,Vulnerable
Cause choose,Amphibia,Rodentia,1303.066,2995.06,Vulnerable
Staff suddenly,Aves,Passeriformes,4919.537,2094.12,Least Concern
Material front,Reptilia,Rodentia,651.512,2606.4,Vulnerable
Dog step,Aves,Passeriformes,3668.293,1672.28,Vulnerable
Yet maybe,Mammalia,Squamata,3791.447,2716.41,Least Concern
Type back,Aves,Passeriformes,500.785,2916.97,Critically Endangered
Yourself money,Amphibia,Carnivora,2153.431,2656.76,Extinct in the Wild
Suggest affect,Reptilia,Squamata,1912.789,500.83,Extinct in the Wild
Three pass,Mammalia,Primates,4507.219,1558.73,Extinct in the Wild
Later good,Reptilia,Primates,999.432,135.91,Extinct in the Wild
Option within,Amphibia,Primates,2797.461,538.95,Least Concern
Present business,Mammalia,Squamata,3242.641,105.76,Vulnerable
Instead foreign,Actinopterygii,Passeriformes,4320.15,2286.16,Critically Endangered
Speak character,Reptilia,Primates,1902.18,1822.79,Endangered
Administration movie,Amphibia,Primates,108.084,1931.29,Least Concern
Lose crime,Actinopterygii,Passeriformes,3509.565,2911.65,Vulnerable
Also continue,Actinopterygii,Passeriformes,317.932,2333.34,Vulnerable
Thought office,Mammalia,Carnivora,3167.346,1833.62,Endangered
Day beat,Aves,Carnivora,1086.571,2213.65,Critically Endangered
Country option,Mammalia,Carnivora,4051.074,2608.84,Near Threatened
Customer agent,Amphibia,Primates,1117.938,1187.39,Least Concern
Least cell,Mammalia,Anura,3636.324,2723.38,Vulnerable
Wide experience,Actinopterygii,Squamata,1650.277,671.46,Least Concern
Part simple,Amphibia,Squamata,4692.818,910.61,Least Concern
Believe own,Amphibia,Squamata,1306.702,1773.48,Vulnerable
All employee,Aves,Anura,4044.019,2701.67,Least Concern
Blood amount,Reptilia,Squamata,2616.925,871.98,Vulnerable
Operation much,Actinopterygii,Rodentia,4781.944,1224.85,Vulnerable
Continue property,Amphibia,Squamata,2777.068,1304.04,Critically Endangered
Pass wide,Mammalia,Rodentia,2458.394,1550.22,Critically Endangered
East put,Aves,Passeriformes,674.999,573.72,Near Threatened
Prevent writer,Amphibia,Primates,2909.6,2925.54,Least Concern
Push some,Aves,Primates,1177.517,1047.15,Extinct in the Wild
Dark so,Actinopterygii,Rodentia,3509.604,2918.16,Vulnerable
Interview hope,Amphibia,Squamata,3801.07,2112.66,Critically Endangered
Design white,Amphibia,Anura,144.738,1418.05,Critically Endangered
Young better,Amphibia,Carnivora,1184.794,2241.78,Endangered
Impact couple,Reptilia,Passeriformes,1216.101,1537.53,Extinct in the Wild
Almost top,Amphibia,Carnivora,559.548,1144.54,Endangered
Imagine none,Mammalia,Squamata,1937.246,38.02,Near Threatened
Scene item,Reptilia,Passeriformes,3581.463,416.38,Vulnerable
Continue expect,Mammalia,Primates,4552.818,570.22,Near Threatened
Shoulder side,Aves,Squamata,1264.744,1161.48,Near Threatened
Likely type,Actinopterygii,Rodentia,1069.895,232.98,Near Threatened
After a,Reptilia,Squamata,2513.188,1787.23,Vulnerable
Anything establish,Aves,Rodentia,3728.297,724.33,Critically Endangered
Seat traditional,Mammalia,Anura,886.101,998.03,Vulnerable
