species,class,order,weight_kg,length_cm,conservation_status
Cut large,Mammalia,Anura,758.966,49.64,Endangered
Sit yeah,Aves,Carnivora,2498.516,2980.51,Least Concern
Its case,Aves,Squamata,1875.413,1285.74,Vulnerable
Someone son,Actinopterygii,Anura,895.247,1006.21,Least Concern
Tell space,Aves,Passeriformes,4425.632,1691.99,Extinct in the Wild
All drug,Mammalia,Primates,1213.112,1653.66,Least Concern
Around book,Amphibia,Passeriformes,1538.655,550.51,Critically Endangered
Stay listen,Actinopterygii,Squamata,3569.433,2031.07,Least Concern
Morning question,Mammalia,Carnivora,1597.47,666.18,Vulnerable
Add day,Aves,Rodentia,3959.278,162.13,Near Threatened
Control certain,Amphibia,Anura,2124.54,1460.71,Critically Endangered
My beautiful,Amphibia,Primates,1398.506,2704.69,Extinct in the Wild
Leg that,Reptilia,Passeriformes,3487.343,1411.58,Least Concern
Control back,Reptilia,Carnivora,4975.252,1648.05,Least Concern
Unit important,Aves,Primates,837.206,2217.48,Near Threatened
Care black,Actinopterygii,Anura,2600.029,1284.11,Extinct in the Wild
Consider above,Mammalia,Squamata,2544.488,939.21,Vulnerable
Help myself,Mammalia,Squamata,1517.431,699.19,Vulnerable
Huge wear,Aves,Rodentia,2367.721,314.42,Critically Endangered
Garden four,Aves,Passeriformes,3597.875,1138.64,Extinct in the Wild
Front artist,Aves,Rodentia,863.29,2398.33,Endangered
Her beat,Mammalia,Passeriformes,2585.67,98.97,Critically Endangered
Least develop,Reptilia,Squamata,991.135,1225.61,Critically Endangered
Girl present,Amphibia,Squamata,2594.31,1550.68,Endangered
East professional,Aves,Rodentia,4538.477,2962.08,Extinct in the Wild
Pretty perhaps,Actinopterygii,Carnivora,1198.653,239.91,Critically Endangered
Employee for,Actinopterygii,Squamata,3657.48,215.65,Least Concern
President within,Mammalia,Passeriformes,4675.177,1735.62,Endangered
Class rate,Mammalia,Primates,2289.461,935.49,Endangered
Loss become,Aves,Passeriformes,3997.06,451.26,Near Threatened
