species,class,order,weight_kg,length_cm,conservation_status
Guy of,Amphibia,Primates,2328.361,99.31,Least Concern
Special serve,Reptilia,Squamata,4343.534,794.78,Extinct in the Wild
Police ball,Amphibia,Squamata,1169.337,1747.09,Vulnerable
Spring detail,Reptilia,Rodentia,1330.369,1006.03,Least Concern
Ball consider,Aves,Anura,4868.494,2399.55,Extinct in the Wild
Science war,Actinopterygii,Passeriformes,639.887,2519.98,Extinct in the Wild
Economy song,Aves,Primates,1622.014,161.23,Near Threatened
Republican last,Amphibia,Passeriformes,2493.774,2570.2,Endangered
Certainly despite,Actinopterygii,Carnivora,3111.266,1866.85,Endangered
News enter,Reptilia,Carnivora,2524.113,41.49,Extinct in the Wild
Successful future,Amphibia,Anura,3236.864,2438.71,Vulnerable
Several everything,Mammalia,Anura,2210.517,1332.79,Critically Endangered
Believe guy,Mammalia,Carnivora,4056.346,1305.53,Endangered
Realize establish,Actinopterygii,Carnivora,1197.064,1867.5,Least Concern
Hear simply,Mammalia,Carnivora,4039.323,2552.09,Vulnerable
Hear arm,Aves,Anura,4009.393,161.47,Endangered
Method door,Actinopterygii,Squamata,1485.416,1193.65,Vulnerable
Explain city,Amphibia,Rodentia,139.918,2751.67,Extinct in the Wild
Coach must,Actinopterygii,Anura,3738.806,2399.64,Near Threatened
Star weight,Reptilia,Squamata,4067.963,835.87,Vulnerable
However response,Reptilia,Anura,1234.296,1206.65,Extinct in the Wild
Ball score,Reptilia,Squamata,97.915,1282.44,Near Threatened
Rate discover,Reptilia,Primates,3605.893,813.44,Near Threatened
Stand difficult,Amphibia,Primates,2495.091,141.04,Near Threatened
Herself argue,Actinopterygii,Anura,4848.732,568.41,Near Threatened
Agency foot,Mammalia,Primates,4913.8,1640.47,Extinct in the Wild
Despite his,Reptilia,Primates,2121.31,2767.07,Vulnerable
Dog music,Mammalia,Primates,4794.555,1424.48,Endangered
Piece nearly,Reptilia,Squamata,3129.035,208.69,Near Threatened
Ever future,Actinopterygii,Carnivora,3766.051,56.5,Critically Endangered
Bed Mrs,Amphibia,Rodentia,3652.946,231.69,Near Threatened
Indeed assume,Amphibia,Anura,2550.83,2578.58,Least Concern
Security approach,Amphibia,Anura,2786.024,470.09,Endangered
Free meet,Actinopterygii,Primates,1020.941,692.92,Vulnerable
Stock strong,Amphibia,Anura,3823.536,2631.14,Critically Endangered
Sort what,Amphibia,Passeriformes,182.265,2918.27,Endangered
Personal guess,Reptilia,Passeriformes,496.599,2649.28,Endangered
Organization house,Aves,Rodentia,3754.772,589.52,Endangered
Pay level,Actinopterygii,Carnivora,630.181,2121.38,Least Concern
Choice physical,Amphibia,Primates,2902.44,2201.76,Vulnerable
Ten oil,Mammalia,Rodentia,1045.573,1739.82,Least Concern
Which third,Mammalia,Anura,1849.637,2047.98,Near Threatened
Will full,Actinopterygii,Squamata,4776.709,1787.82,Near Threatened
Offer role,Mammalia,Anura,4178.42,145.71,Critically Endangered
His difference,Amphibia,Anura,2337.363,179.36,Critically Endangered
Left past,Actinopterygii,Primates,3208.171,1696.3,Endangered
Bring citizen,Aves,Squamata,3229.849,256.42,Critically Endangered
Always know,Aves,Squamata,4786.043,1997.68,Extinct in the Wild
Democratic general,Reptilia,Passeriformes,777.234,154.08,Near Threatened
Away someone,Mammalia,Passeriformes,964.614,1258.6,Critically Endangered
She money,Amphibia,Carnivora,3081.233,2881.46,Vulnerable
Behind short,Actinopterygii,Primates,364.062,1509.84,Near Threatened
Product establish,Reptilia,Carnivora,313.531,1910.51,Vulnerable
Generation toward,Mammalia,Anura,1215.195,1917.65,Vulnerable
Share change,Actinopterygii,Passeriformes,1532.616,847.65,Extinct in the Wild
Bill argue,Reptilia,Primates,1072.48,2200.62,Extinct in the Wild
Sound he,Amphibia,Squamata,2380.787,2518.06,Least Concern
Degree body,Reptilia,Passeriformes,2286.251,180.3,Critically Endangered
Various since,Amphibia,Rodentia,1380.821,1712.51,Vulnerable
Station community,Reptilia,Rodentia,4978.995,639.18,Near Threatened
Individual worker,Aves,Primates,4798.542,1501.44,Endangered
Who key,Mammalia,Squamata,418.526,1230.2,Least Concern
