species,class,order,weight_kg,length_cm,conservation_status
Space decade,Aves,Passeriformes,3637.882,2215.43,Near Threatened
Above total,Actinopterygii,Anura,1772.784,2902.14,Extinct in the Wild
And wrong,Actinopterygii,Rodentia,2206.438,1822.38,Endangered
My science,Actinopterygii,Anura,457.08,213.18,Vulnerable
Candidate number,Mammalia,Primates,1962.617,1834.1,Near Threatened
Trouble art,Mammalia,Passeriformes,4477.001,343.32,Endangered
Program fund,Aves,Squamata,1756.211,2759.23,Endangered
Accept address,Actinopterygii,Primates,3516.887,1743.89,Vulnerable
Ground world,Amphibia,Passeriformes,2305.603,1275.69,Critically Endangered
Reason note,Actinopterygii,Passeriformes,1229.801,2847.58,Critically Endangered
Left month,Amphibia,Squamata,2075.458,515.07,Vulnerable
Civil until,Aves,Rodentia,4748.401,570.09,Vulnerable
Cup participant,Actinopterygii,Rodentia,4877.463,2461.3,Near Threatened
Join their,Amphibia,Rodentia,272.306,1288.49,Critically Endangered
Tv improve,Mammalia,Passeriformes,548.255,1064.47,Vulnerable
Sure direction,Reptilia,Anura,955.458,1301.16,Least Concern
Professional much,Aves,Rodentia,2481.395,1923.09,Critically Endangered
Final notice,Mammalia,Primates,4870.437,1410.08,Near Threatened
Score main,Aves,Anura,1856.485,130.59,Critically Endangered
Recently offer,Aves,Primates,1350.758,925.84,Vulnerable
Number act,Mammalia,Anura,296.516,2033.35,Least Concern
Attorney wish,Amphibia,Passeriformes,3583.067,1403.65,Vulnerable
Company occur,Reptilia,Passeriformes,4495.948,2428.72,Extinct in the Wild
Early major,Reptilia,Squamata,2418.305,125.1,Near Threatened
Mr space,Amphibia,Passeriformes,2312.03,2192.18,Vulnerable
Around practice,Reptilia,Passeriformes,420.05,2495.81,Near Threatened
Tree together,Reptilia,Passeriformes,3855.171,1120.36,Least Concern
Treat place,Reptilia,Squamata,632.415,1325.25,Near Threatened
Accept here,Actinopterygii,Carnivora,258.466,523.73,Endangered
Price foreign,Aves,Carnivora,76.896,1995.74,Extinct in the Wild
Law while,Actinopterygii,Primates,4205.244,1141.6,Near Threatened
Method player,Aves,Primates,2970.496,436.0,Critically Endangered
Media specific,Aves,Squamata,4315.975,516.28,Vulnerable
Brother standard,Aves,Primates,368.174,1895.75,Vulnerable
Remain few,Aves,Primates,3469.714,540.03,Near Threatened
Color act,Mammalia,Primates,3351.58,70.77,Near Threatened
Think ten,Aves,Squamata,1096.318,604.51,Critically Endangered
Exactly thank,Amphibia,Passeriformes,2307.167,811.56,Least Concern
Total seat,Aves,Rodentia,2460.554,1848.54,Least Concern
Same game,Reptilia,Anura,4953.446,1374.66,Extinct in the Wild
Again recently,Mammalia,Squamata,4834.179,971.33,Least Concern
Gas power,Reptilia,Squamata,3785.542,1050.23,Critically Endangered
Until price,Reptilia,Carnivora,269.68,1347.46,Vulnerable
Car physical,Reptilia,Anura,4756.061,1991.63,Extinct in the Wild
Effort budget,Amphibia,Passeriformes,2725.611,2533.15,Least Concern
Simply local,Reptilia,Passeriformes,3037.246,2134.97,Least Concern
Financial just,Mammalia,Rodentia,2564.538,2819.16,Extinct in the Wild
Idea among,Reptilia,Passeriformes,2719.48,2288.0,Vulnerable
Bit question,Aves,Primates,583.258,2990.34,Vulnerable
Big executive,Mammalia,Rodentia,517.921,331.3,Vulnerable
Woman page,Amphibia,Squamata,180.132,25.03,Endangered
Agreement through,Reptilia,Squamata,1701.785,1213.96,Near Threatened
Population wife,Amphibia,Carnivora,2344.03,1790.6,Near Threatened
Do tonight,Amphibia,Rodentia,4250.511,2282.71,Endangered
Responsibility establish,Reptilia,Squamata,2273.585,1766.37,Near Threatened
Themselves office,Reptilia,Carnivora,3398.108,474.38,Vulnerable
For candidate,Actinopterygii,Rodentia,315.698,983.32,Vulnerable
Travel sea,Reptilia,Carnivora,3457.395,1460.13,Critically Endangered
Skill manager,Aves,Rodentia,763.972,1310.59,Vulnerable
History wish,Actinopterygii,Passeriformes,2433.942,2402.95,Least Concern
Still week,Aves,Anura,4041.524,1102.67,Critically Endangered
Study certainly,Mammalia,Anura,2352.01,1646.42,Least Concern
Candidate inside,Mammalia,Passeriformes,1124.88,1380.34,Vulnerable
Type entire,Reptilia,Squamata,1367.194,1889.14,Vulnerable
Room also,Actinopterygii,Squamata,2148.991,1917.13,Critically Endangered
Near compare,Amphibia,Squamata,2570.275,2779.31,Vulnerable
Put same,Actinopterygii,Carnivora,3230.902,10.02,Least Concern
Century focus,Mammalia,Passeriformes,1763.501,988.62,Critically Endangered
Make be,Reptilia,Carnivora,4865.877,501.61,Critically Endangered
But several,Amphibia,Primates,4915.754,1542.34,Least Concern
Table yet,Aves,Rodentia,3193.32,294.35,Near Threatened
Quality but,Mammalia,Rodentia,3873.379,705.42,Least Concern
Set scene,Aves,Anura,3005.876,2273.46,Vulnerable
Seat argue,Aves,Carnivora,4827.629,1077.47,Endangered
Republican describe,Mammalia,Primates,3139.893,1204.47,Endangered
Speak film,Actinopterygii,Rodentia,4640.539,138.54,Extinct in the Wild
Toward very,Reptilia,Carnivora,3309.018,1730.94,Extinct in the Wild
Course smile,Aves,Anura,3604.066,1033.2,Extinct in the Wild
Time situation,Aves,Passeriformes,2976.742,1086.46,Critically Endangered
Poor film,Actinopterygii,Passeriformes,4544.338,610.7,Vulnerable
Choose per,Mammalia,Rodentia,4548.747,2885.92,Endangered
Why herself,Actinopterygii,Passeriformes,1632.595,239.22,Extinct in the Wild
Establish picture,Actinopterygii,Primates,2009.092,2916.56,Near Threatened
Drug discover,Reptilia,Rodentia,1684.849,2066.15,Least Concern
Discover thank,Reptilia,Rodentia,1902.722,2130.6,Least Concern
Individual appear,Mammalia,Primates,2689.491,922.7,Endangered
Lawyer once,Amphibia,Passeriformes,4782.173,2914.22,Least Concern
Whether or,Amphibia,Passeriformes,4213.472,429.12,Near Threatened
Charge same,Mammalia,Passeriformes,1272.035,423.71,Vulnerable
Standard conference,Aves,Carnivora,4666.824,2367.97,Vulnerable
Money between,Actinopterygii,Primates,3138.371,869.73,Endangered
Wait economic,Reptilia,Carnivora,3980.016,670.07,Critically Endangered
Thousand baby,Aves,Passeriformes,463.848,1005.34,Near Threatened
Something call,Aves,Rodentia,2871.327,1661.05,Critically Endangered
Enough national,Actinopterygii,Carnivora,4983.372,314.02,Extinct in the Wild
Fish suffer,Aves,Anura,3048.069,2294.17,Vulnerable
Suffer Congress,Reptilia,Squamata,1001.319,2889.76,Least Concern
Yard subject,Aves,Primates,2266.29,901.2,Extinct in the Wild
President everyone,Actinopterygii,Anura,2040.47,935.42,Critically Endangered
Radio plant,Reptilia,Anura,1365.041,142.66,Extinct in the Wild
Baby over,Reptilia,Anura,803.556,941.34,Extinct in the Wild
Their watch,Aves,Anura,2154.566,2667.81,Vulnerable
It magazine,Actinopterygii,Carnivora,1273.192,885.22,Critically Endangered
Reach receive,Mammalia,Anura,1214.744,614.19,Extinct in the Wild
National off,Aves,Passeriformes,3156.945,2183.51,Near Threatened
Idea clearly,Mammalia,Squamata,2425.509,401.5,Least Concern
Play side,Amphibia,Primates,2829.5,863.81,Least Concern
Build still,Aves,Carnivora,2053.419,1263.81,Least Concern
Painting cup,Mammalia,Passeriformes,1575.694,350.99,Vulnerable
We herself,Amphibia,Passeriformes,3466.269,1644.69,Vulnerable
Require sing,Mammalia,Rodentia,1822.072,2049.57,Endangered
None size,Aves,Carnivora,3495.873,2464.73,Vulnerable
Head cut,Mammalia,Rodentia,2783.934,1699.29,Critically Endangered
Plan north,Reptilia,Primates,3700.886,572.56,Vulnerable
View return,Mammalia,Squamata,437.561,850.04,Least Concern
Many message,Aves,Squamata,3237.542,142.11,Extinct in the Wild
Issue hair,Actinopterygii,Carnivora,40.416,2982.13,Extinct in the Wild
Parent himself,Amphibia,Carnivora,2836.49,1179.47,Vulnerable
Two figure,Amphibia,Passeriformes,538.351,1017.85,Least Concern
Case top,Aves,Rodentia,2343.599,962.72,Endangered
Child method,Amphibia,Carnivora,1192.453,183.14,Least Concern
Safe either,Mammalia,Squamata,3582.053,806.57,Extinct in the Wild
Get north,Amphibia,Anura,1660.468,878.24,Vulnerable
Leg better,Aves,Squamata,1597.063,1206.55,Extinct in the Wild
If mission,Reptilia,Squamata,2829.461,1280.23,Critically Endangered
Wonder worker,Reptilia,Anura,4831.978,1784.62,Vulnerable
Imagine run,Amphibia,Carnivora,94.042,935.08,Least Concern
Teach figure,Actinopterygii,Rodentia,342.507,1104.73,Endangered
Run quality,Mammalia,Carnivora,3796.671,90.86,Critically Endangered
Heart oil,Actinopterygii,Passeriformes,3748.955,1611.41,Critically Endangered
During away,Reptilia,Squamata,1825.454,1463.33,Near Threatened
Be onto,Amphibia,Anura,3341.092,2596.98,Critically Endangered
Hotel action,Mammalia,Passeriformes,2387.459,2753.32,Near Threatened
Treatment most,Amphibia,Squamata,4451.453,163.91,Critically Endangered
Draw third,Aves,Rodentia,3872.446,734.77,Endangered
Question where,Amphibia,Squamata,2343.674,1633.93,Near Threatened
Cause mission,Mammalia,Anura,1977.36,2521.84,Vulnerable
Act run,Mammalia,Anura,4544.005,2866.66,Near Threatened
A matter,Mammalia,Anura,4889.528,2008.94,Endangered
Arrive glass,Aves,Primates,3033.393,1403.46,Near Threatened
Make class,Mammalia,Passeriformes,1101.05,2282.22,Near Threatened
Executive yourself,Mammalia,Primates,3261.219,1786.3,Least Concern
Wonder thus,Amphibia,Squamata,3111.612,1474.91,Vulnerable
Place vote,Aves,Carnivora,1314.7,1257.94,Endangered
Society certainly,Amphibia,Carnivora,1861.07,2437.46,Endangered
Before career,Reptilia,Primates,3636.657,2255.42,Vulnerable
Sure season,Amphibia,Rodentia,4112.921,880.58,Least Concern
Child hear,Actinopterygii,Rodentia,1425.677,184.7,Endangered
South ahead,Reptilia,Carnivora,3397.367,382.84,Extinct in the Wild
Deal style,Amphibia,Rodentia,71.677,327.74,Endangered
Voice newspaper,Mammalia,Anura,4763.059,2180.99,Extinct in the Wild
Like analysis,Mammalia,Primates,489.202,1160.96,Endangered
Anything cover,Amphibia,Squamata,4785.378,1790.51,Least Concern
Value meet,Actinopterygii,Passeriformes,3491.061,1908.05,Near Threatened
Wrong police,Reptilia,Squamata,2922.43,2450.85,Extinct in the Wild
Prevent increase,Amphibia,Primates,1993.868,2533.45,Extinct in the Wild
Rock require,Amphibia,Rodentia,3361.468,1337.37,Critically Endangered
Two phone,Mammalia,Anura,949.833,572.95,Extinct in the Wild
Far stock,Actinopterygii,Primates,3739.121,1569.21,Near Threatened
Former first,Mammalia,Passeriformes,4544.618,441.68,Critically Endangered
Already pick,Reptilia,Anura,4976.271,1128.44,Endangered
Doctor study,Aves,Squamata,1352.701,1288.24,Extinct in the Wild
Choice reason,Reptilia,Rodentia,1530.369,262.83,Critically Endangered
Else prove,Aves,Carnivora,4202.252,2704.5,Extinct in the Wild
Listen strong,Mammalia,Passeriformes,519.914,727.81,Extinct in the Wild
Write wish,Aves,Carnivora,1119.736,122.6,Vulnerable
History church,Amphibia,Rodentia,4348.903,2597.96,Vulnerable
Event form,Reptilia,Anura,4245.096,1915.44,Vulnerable
Forget everything,Actinopterygii,Anura,4732.294,313.31,Least Concern
Ok color,Amphibia,Squamata,1090.68,1514.25,Near Threatened
Religious such,Reptilia,Squamata,2861.262,835.69,Near Threatened
Old affect,Reptilia,Squamata,4726.684,2710.0,Extinct in the Wild
Appear east,Aves,Rodentia,4080.68,2272.86,Extinct in the Wild
Decide sometimes,Amphibia,Passeriformes,1907.437,569.76,Endangered
Career detail,Amphibia,Carnivora,808.428,1281.83,Least Concern
Evening significant,Aves,Rodentia,754.564,2371.86,Least Concern
Fear traditional,Amphibia,Rodentia,2320.279,1210.49,Extinct in the Wild
Provide alone,Reptilia,Anura,2757.938,2439.71,Endangered
Present class,Mammalia,Primates,4826.402,806.98,Critically Endangered
Official rate,Amphibia,Primates,739.706,2843.5,Least Concern
Collection computer,Reptilia,Rodentia,1022.33,863.84,Critically Endangered
Power when,Actinopterygii,Passeriformes,3287.598,2591.14,Near Threatened
In change,Amphibia,Carnivora,4749.759,1709.26,Endangered
Argue or,Reptilia,Squamata,1921.066,335.87,Least Concern
Three at,Aves,Carnivora,713.638,2556.22,Critically Endangered
Probably heavy,Actinopterygii,Primates,117.442,2453.29,Near Threatened
Sit dog,Aves,Rodentia,2622.01,706.29,Least Concern
Pm cup,Reptilia,Anura,1195.821,2115.81,Critically Endangered
During hair,Mammalia,Rodentia,2706.828,832.88,Critically Endangered
It product,Reptilia,Rodentia,4173.559,2919.28,Critically Endangered
Allow age,Actinopterygii,Carnivora,224.029,2595.3,Endangered
Behind standard,Amphibia,Rodentia,4238.094,804.52,Critically Endangered
Language wear,Reptilia,Squamata,3510.075,1154.79,Least Concern
Senior family,Aves,Carnivora,716.004,1325.83,Extinct in the Wild
Institution Republican,Aves,Squamata,4805.788,1784.9,Extinct in the Wild
Too among,Actinopterygii,Carnivora,1905.47,2440.95,Extinct in the Wild
Administration subject,Mammalia,Squamata,3386.051,289.8,Near Threatened
With clearly,Aves,Anura,2712.21,109.03,Extinct in the Wild
Everything front,Mammalia,Primates,4716.883,2318.72,Critically Endangered
Know under,Mammalia,Passeriformes,719.42,2452.84,Extinct in the Wild
Court consider,Amphibia,Passeriformes,2125.931,684.97,Vulnerable
Herself high,Amphibia,Carnivora,3851.409,854.74,Near Threatened
Everyone sit,Mammalia,Squamata,2170.46,618.8,Near Threatened
Democratic past,Amphibia,Carnivora,327.635,1916.29,Critically Endangered
Small even,Actinopterygii,Passeriformes,208.348,1227.14,Extinct in the Wild
Themselves marriage,Amphibia,Passeriformes,1774.437,499.87,Extinct in the Wild
Yard six,Actinopterygii,Passeriformes,4460.905,663.48,Near Threatened
Class official,Mammalia,Carnivora,1171.996,1421.24,Extinct in the Wild
According itself,Amphibia,Squamata,3973.122,219.08,Critically Endangered
West gun,Amphibia,Rodentia,341.267,944.47,Extinct in the Wild
Herself factor,Actinopterygii,Squamata,4347.976,2400.3,Critically Endangered
Foot everybody,Reptilia,Carnivora,1742.091,2543.33,Extinct in the Wild
Have week,Reptilia,Squamata,492.272,122.58,Vulnerable
Perhaps light,Actinopterygii,Rodentia,2578.97,1737.82,Vulnerable
Care all,Reptilia,Passeriformes,935.672,1099.94,Least Concern
Form budget,Actinopterygii,Primates,3760.461,2415.28,Critically Endangered
Analysis media,Reptilia,Squamata,1422.747,297.4,Critically Endangered
Decade test,Reptilia,Rodentia,2586.649,2675.68,Endangered
Fall yeah,Aves,Carnivora,2484.143,1145.06,Least Concern
Draw yes,Aves,Rodentia,1398.134,2665.93,Vulnerable
Not Democrat,Reptilia,Primates,4986.103,837.83,Extinct in the Wild
In follow,Mammalia,Primates,3991.982,2025.11,Least Concern
Trial week,Amphibia,Rodentia,4061.078,513.81,Critically Endangered
Management them,Mammalia,Primates,1695.914,214.29,Least Concern
Total success,Actinopterygii,Primates,743.254,2227.09,Endangered
Report century,Actinopterygii,Passeriformes,425.822,124.6,Vulnerable
Figure life,Reptilia,Passeriformes,879.019,1922.85,Least Concern
Present look,Mammalia,Squamata,2526.92,12.09,Least Concern
Room clearly,Mammalia,Rodentia,3835.369,2086.63,Critically Endangered
Their catch,Actinopterygii,Anura,3430.848,162.29,Least Concern
Image away,Actinopterygii,Anura,188.855,332.47,Extinct in the Wild
Claim nearly,Mammalia,Squamata,365.186,582.92,Extinct in the Wild
I ball,Amphibia,Squamata,3612.722,2329.53,Near Threatened
Perform could,Mammalia,Carnivora,2447.578,213.44,Near Threatened
Operation six,Amphibia,Rodentia,2751.45,304.88,Critically Endangered
Time point,Reptilia,Squamata,2320.82,805.54,Near Threatened
Night which,Actinopterygii,Rodentia,1832.947,1184.52,Extinct in the Wild
Recently water,Mammalia,Carnivora,951.236,2360.83,Vulnerable
Sort during,Actinopterygii,Passeriformes,2404.116,640.89,Near Threatened
Work three,Amphibia,Primates,547.501,1556.4,Endangered
Behavior measure,Reptilia,Rodentia,3378.674,936.22,Critically Endangered
Heavy possible,Aves,Rodentia,1950.778,2544.6,Endangered
Space push,Aves,Primates,2477.046,2792.49,Extinct in the Wild
Article international,Reptilia,Squamata,1520.362,1002.1,Extinct in the Wild
Learn real,Actinopterygii,Passeriformes,4977.287,2982.82,Least Concern
Control rather,Amphibia,Passeriformes,456.197,2461.71,Vulnerable
Church off,Amphibia,Primates,2456.948,937.31,Critically Endangered
Upon over,Aves,Carnivora,257.957,1588.53,Extinct in the Wild
Hundred fact,Amphibia,Squamata,2918.636,2645.03,Near Threatened
Quality relate,Aves,Rodentia,513.825,1194.54,Vulnerable
Yet news,Amphibia,Rodentia,4107.87,84.3,Extinct in the Wild
On state,Amphibia,Anura,1351.529,21.55,Vulnerable
Society measure,Amphibia,Primates,2938.486,496.54,Extinct in the Wild
Must fish,Reptilia,Anura,4553.583,2019.43,Critically Endangered
Fund trip,Mammalia,Primates,4280.395,1225.41,Endangered
Model spend,Amphibia,Passeriformes,4411.338,2514.79,Extinct in the Wild
Environmental whom,Aves,Primates,147.976,2602.21,Critically Endangered
Difference card,Aves,Passeriformes,1389.048,2161.65,Vulnerable
Fly skin,Reptilia,Rodentia,3866.015,2639.35,Least Concern
Fire mother,Aves,Anura,4806.968,2842.62,Least Concern
Trade bar,Amphibia,Rodentia,905.704,362.74,Least Concern
Itself yes,Reptilia,Primates,1129.203,1000.53,Near Threatened
Learn industry,Amphibia,Squamata,4782.852,1704.04,Vulnerable
Sport western,Reptilia,Carnivora,502.112,2854.2,Critically Endangered
Mean the,Actinopterygii,Carnivora,900.494,2185.13,Endangered
Bill little,Reptilia,Anura,2288.637,2232.21,Least Concern
Might analysis,Actinopterygii,Carnivora,3849.513,1939.15,Extinct in the Wild
Least official,Reptilia,Rodentia,2135.243,363.42,Near Threatened
According director,Mammalia,Carnivora,2791.298,2204.73,Vulnerable
Describe society,Mammalia,Squamata,4655.622,2854.3,Least Concern
Song focus,Reptilia,Carnivora,2720.831,1466.41,Vulnerable
Agent song,Aves,Rodentia,2760.007,666.25,Endangered
Tv set,Aves,Primates,3536.859,984.11,Endangered
Yes staff,Aves,Carnivora,620.973,1646.16,Least Concern
Thing thousand,Amphibia,Rodentia,3894.336,1439.12,Endangered
Color significant,Reptilia,Squamata,1202.807,1575.14,Least Concern
Such law,Amphibia,Anura,1374.971,1857.57,Least Concern
Various remember,Aves,Primates,3147.721,749.45,Least Concern
Option back,Amphibia,Carnivora,1998.701,804.77,Extinct in the Wild
Spring nice,Actinopterygii,Carnivora,4311.862,359.14,Near Threatened
Success ago,Amphibia,Squamata,1662.121,722.14,Near Threatened
Gun do,Aves,Passeriformes,2940.778,690.34,Near Threatened
Actually fire,Mammalia,Anura,2101.516,2994.17,Vulnerable
Red travel,Actinopterygii,Anura,4768.796,2397.3,Least Concern
Industry move,Reptilia,Primates,4587.907,481.22,Critically Endangered
Treatment always,Actinopterygii,Squamata,423.824,187.67,Near Threatened
World simply,Aves,Squamata,3881.241,1966.2,Extinct in the Wild
Born fire,Actinopterygii,Primates,4657.324,56.38,Critically Endangered
Onto culture,Actinopterygii,Passeriformes,4503.369,391.93,Endangered
Our garden,Amphibia,Squamata,12.927,2311.66,Extinct in the Wild
Expert determine,Aves,Squamata,2455.134,233.17,Least Concern
Positive necessary,Reptilia,Squamata,1894.627,1381.81,Extinct in the Wild
Our role,Amphibia,Carnivora,4450.792,2701.06,Endangered
President human,Mammalia,Anura,4464.213,989.7,Extinct in the Wild
Red plant,Aves,Primates,1405.371,2723.86,Least Concern
Law such,Amphibia,Squamata,2208.756,2562.17,Vulnerable
Side too,Actinopterygii,Carnivora,3068.698,124.98,Critically Endangered
