species,class,order,weight_kg,length_cm,conservation_status
Shake season,Aves,Squamata,651.824,1110.8,Near Threatened
Officer environment,Actinopterygii,Squamata,4031.923,2554.63,Endangered
Require feeling,Aves,Primates,1757.108,1972.16,Critically Endangered
Throughout stuff,Reptilia,Squamata,987.177,310.42,Endangered
Experience store,Actinopterygii,Primates,3151.354,2604.71,Endangered
Push behavior,Actinopterygii,Passeriformes,1642.601,2169.87,Endangered
Service sense,Amphibia,Passeriformes,2940.078,753.95,Near Threatened
Effort other,Reptilia,Passeriformes,404.23,113.9,Least Concern
I short,Aves,Squamata,1601.467,1216.13,Extinct in the Wild
Public Democrat,Amphibia,Primates,632.048,1958.76,Critically Endangered
Issue option,Amphibia,Rodentia,1092.446,1879.25,Near Threatened
Others respond,Aves,Primates,3037.684,970.61,Endangered
Keep foot,Actinopterygii,Anura,111.662,883.6,Endangered
Commercial she,Reptilia,Primates,4408.846,1988.79,Least Concern
Fire success,Aves,Carnivora,611.954,1926.51,Endangered
Lawyer increase,Amphibia,Primates,3414.677,2740.27,Critically Endangered
Describe although,Aves,Passeriformes,2408.767,1873.0,Endangered
Keep support,Mammalia,Primates,3638.32,2773.3,Extinct in the Wild
Here middle,Mammalia,Rodentia,2222.717,1962.52,Least Concern
Onto likely,Aves,Anura,2976.346,1017.72,Critically Endangered
Street eight,Reptilia,Carnivora,1134.707,872.69,Critically Endangered
North officer,Amphibia,Passeriformes,515.679,29.32,Near Threatened
Apply mention,Amphibia,Primates,3183.85,2554.89,Endangered
Market front,Amphibia,Primates,920.447,573.11,Endangered
Clearly product,Actinopterygii,Rodentia,4734.145,1230.31,Near Threatened
Item friend,Mammalia,Passeriformes,1350.027,1941.96,Near Threatened
Five check,Actinopterygii,Carnivora,3044.478,2395.22,Vulnerable
Deal expect,Mammalia,Primates,2593.76,1914.97,Vulnerable
Politics college,Aves,Primates,2272.441,474.3,Vulnerable
Social majority,Amphibia,Primates,4062.807,2854.4,Least Concern
Maybe occur,Mammalia,Rodentia,4424.525,1853.01,Critically Endangered
Employee rise,Reptilia,Rodentia,98.205,2617.46,Least Concern
Between military,Mammalia,Carnivora,4582.33,1403.19,Critically Endangered
Him there,Actinopterygii,Rodentia,4780.422,1875.38,Near Threatened
Put find,Aves,Squamata,1818.748,244.64,Extinct in the Wild
Check meeting,Amphibia,Passeriformes,4105.836,1476.76,Critically Endangered
Pretty a,Actinopterygii,Rodentia,684.357,2967.5,Extinct in the Wild
Central against,Actinopterygii,Anura,4305.26,634.24,Least Concern
Them skill,Amphibia,Anura,319.8,2360.31,Vulnerable
Memory recently,Mammalia,Carnivora,1258.947,1428.26,Extinct in the Wild
Beat economic,Reptilia,Anura,1801.025,2286.51,Critically Endangered
Situation anything,Aves,Squamata,4242.413,1548.95,Vulnerable
Beyond budget,Mammalia,Rodentia,3782.754,480.48,Least Concern
Politics leader,Amphibia,Primates,4288.966,524.28,Endangered
Message exactly,Reptilia,Carnivora,2368.545,2175.0,Extinct in the Wild
Music point,Mammalia,Rodentia,3247.69,1110.48,Extinct in the Wild
Country camera,Aves,Passeriformes,3228.073,394.94,Vulnerable
Western offer,Mammalia,Squamata,1850.625,2501.81,Least Concern
Threat doctor,Aves,Primates,2483.038,2206.3,Least Concern
Explain another,Aves,Squamata,2381.23,1431.4,Extinct in the Wild
Public well,Actinopterygii,Primates,2104.244,1363.46,Least Concern
Police several,Amphibia,Carnivora,3313.13,475.28,Least Concern
Sing such,Reptilia,Passeriformes,339.779,2125.49,Least Concern
Newspaper box,Mammalia,Carnivora,2531.437,1683.31,Vulnerable
Positive write,Mammalia,Carnivora,574.778,664.48,Vulnerable
Direction sign,Amphibia,Primates,865.621,2748.95,Near Threatened
Strong color,Aves,Carnivora,1360.697,2915.54,Endangered
Have stock,Reptilia,Passeriformes,2012.609,751.48,Vulnerable
Him else,Amphibia,Primates,4877.906,571.4,Vulnerable
Follow put,Mammalia,Squamata,4679.789,431.88,Extinct in the Wild
Customer seem,Amphibia,Primates,2379.166,1068.99,Vulnerable
Can attack,Amphibia,Carnivora,4498.891,2934.35,Critically Endangered
Player he,Reptilia,Primates,4240.325,2955.57,Critically Endangered
Opportunity almost,Mammalia,Primates,2832.621,2733.01,Near Threatened
