species,class,order,weight_kg,length_cm,conservation_status
Record house,Mammalia,Rodentia,735.099,2913.14,Endangered
Smile like,Actinopterygii,Squamata,4301.788,1869.94,Extinct in the Wild
Then military,Reptilia,Rodentia,736.7,122.36,Least Concern
Or bank,Actinopterygii,Squamata,4893.669,688.74,Endangered
Assume end,Aves,Rodentia,476.429,1733.92,Critically Endangered
Lot herself,Mammalia,Squamata,4529.085,2176.26,Least Concern
Free television,Reptilia,Passeriformes,1654.588,500.68,Least Concern
Democratic mean,Reptilia,Primates,1070.102,1541.03,Critically Endangered
Heavy someone,Amphibia,Passeriformes,2979.74,2771.44,Near Threatened
Police simple,Actinopterygii,Anura,4733.94,1871.23,Endangered
Church security,Mammalia,Primates,1107.637,2467.19,Near Threatened
Much social,Amphibia,Squamata,2722.67,2202.16,Critically Endangered
Would true,Reptilia,Carnivora,2462.177,2225.5,Near Threatened
Hold money,Amphibia,Rodentia,3206.51,2447.65,Critically Endangered
Skill throw,Aves,Anura,4240.236,38.37,Endangered
Fight new,Reptilia,Squamata,418.828,2443.48,Vulnerable
Especially up,Amphibia,Anura,4250.12,1090.3,Endangered
Value system,Amphibia,Rodentia,2336.012,1474.35,Endangered
Clearly anyone,Actinopterygii,Anura,3313.413,825.83,Near Threatened
Today difference,Reptilia,Anura,235.424,705.39,Endangered
Probably painting,Reptilia,Primates,146.051,779.09,Endangered
Decide them,Aves,Carnivora,3156.581,2842.59,Vulnerable
Foreign conference,Mammalia,Carnivora,2111.207,2272.13,Vulnerable
Section dream,Mammalia,Anura,1142.85,1750.29,Extinct in the Wild
Drug life,Reptilia,Anura,1081.351,1652.72,Vulnerable
You send,Amphibia,Primates,4827.948,1026.02,Critically Endangered
Book happy,Actinopterygii,Squamata,4341.022,1466.94,Endangered
Effort note,Aves,Rodentia,179.879,1022.22,Extinct in the Wild
Hotel phone,Mammalia,Anura,2786.651,2155.59,Least Concern
Yes two,Amphibia,Anura,534.879,2330.28,Vulnerable
Recently carry,Amphibia,Primates,61.306,89.64,Least Concern
Once miss,Reptilia,Rodentia,17.971,2353.66,Extinct in the Wild
I evening,Mammalia,Squamata,1646.351,2095.31,Vulnerable
Western defense,Aves,Primates,1959.182,1462.71,Extinct in the Wild
Economic allow,Reptilia,Squamata,3899.387,2420.59,Extinct in the Wild
Reason partner,Mammalia,Rodentia,563.108,14.66,Near Threatened
Way me,Mammalia,Primates,4970.257,376.49,Least Concern
Cut fund,Actinopterygii,Rodentia,2562.847,2716.8,Critically Endangered
Above structure,Amphibia,Carnivora,3546.075,2641.76,Extinct in the Wild
Rich clearly,Reptilia,Passeriformes,231.762,1545.96,Endangered
Public sport,Amphibia,Squamata,3119.533,2410.53,Extinct in the Wild
Article simple,Aves,Passeriformes,1777.545,1991.53,Near Threatened
Next day,Aves,Squamata,1318.219,2669.23,Near Threatened
Understand child,Mammalia,Anura,4769.3,423.71,Vulnerable
Main movie,Actinopterygii,Passeriformes,4064.284,305.39,Least Concern
Age push,Reptilia,Rodentia,151.63,1500.79,Near Threatened
Thought first,Mammalia,Rodentia,3187.963,2510.92,Endangered
Life condition,Actinopterygii,Anura,2190.711,589.49,Near Threatened
Author performance,Amphibia,Squamata,571.012,1320.49,Least Concern
Million chance,Aves,Passeriformes,2642.944,353.86,Critically Endangered
Gas dog,Actinopterygii,Anura,1720.044,2143.99,Critically Endangered
Economy even,Amphibia,Carnivora,1362.235,861.41,Endangered
Collection least,Mammalia,Carnivora,3538.52,2871.38,Near Threatened
Brother pay,Mammalia,Squamata,133.209,2377.31,Vulnerable
Two identify,Amphibia,Rodentia,4698.924,1834.2,Critically Endangered
Born particularly,Actinopterygii,Rodentia,3454.473,2120.06,Critically Endangered
Agree sit,Aves,Carnivora,1562.233,2093.98,Extinct in the Wild
Party common,Reptilia,Squamata,2279.612,1672.85,Extinct in the Wild
Edge method,Amphibia,Carnivora,1026.703,2225.77,Critically Endangered
She up,Mammalia,Passeriformes,3649.011,1551.15,Endangered
Beat present,Actinopterygii,Rodentia,1815.632,490.71,Endangered
Strong through,Actinopterygii,Primates,602.698,2889.71,Vulnerable
Most real,Actinopterygii,Passeriformes,4406.773,1768.63,Critically Endangered
Drive vote,Actinopterygii,Rodentia,3008.742,1189.17,Vulnerable
Interest for,Mammalia,Squamata,4650.112,2647.02,Least Concern
Impact turn,Aves,Carnivora,897.11,1661.0,Least Concern
Would TV,Actinopterygii,Anura,4226.621,2201.19,Extinct in the Wild
Lose choose,Reptilia,Carnivora,2602.741,983.9,Critically Endangered
Seek whole,Aves,Carnivora,788.182,1438.91,Extinct in the Wild
Chance head,Actinopterygii,Primates,3720.837,1458.67,Extinct in the Wild
Language apply,Aves,Squamata,3050.117,2166.27,Near Threatened
Truth natural,Amphibia,Primates,3273.017,915.08,Critically Endangered
Everyone tell,Aves,Anura,2406.776,1447.65,Extinct in the Wild
It last,Mammalia,Squamata,2689.054,1792.37,Critically Endangered
Win join,Amphibia,Primates,2201.5,1739.35,Least Concern
Why while,Amphibia,Primates,3402.246,1638.62,Extinct in the Wild
Record media,Reptilia,Rodentia,4509.329,1175.5,Least Concern
Smile hear,Reptilia,Squamata,4262.838,1507.87,Endangered
Degree large,Reptilia,Carnivora,2298.114,2925.46,Vulnerable
Quite factor,Aves,Passeriformes,3824.162,1860.77,Extinct in the Wild
Be director,Mammalia,Carnivora,4557.183,1030.4,Least Concern
Raise sometimes,Actinopterygii,Rodentia,216.504,954.61,Extinct in the Wild
Other per,Reptilia,Passeriformes,2939.577,1713.16,Vulnerable
Forget director,Aves,Rodentia,2339.359,864.08,Vulnerable
Seek audience,Reptilia,Carnivora,991.119,1901.93,Extinct in the Wild
