species,class,order,weight_kg,length_cm,conservation_status
Next simple,Mammalia,Passeriformes,3094.463,1921.47,Critically Endangered
Continue anyone,Mammalia,Primates,2551.031,2911.95,Critically Endangered
Leg develop,Actinopterygii,Passeriformes,3516.771,2504.12,Endangered
Few table,Mammalia,Squamata,4361.398,1482.53,Vulnerable
Development way,Aves,Carnivora,3241.958,2041.45,Endangered
Spring adult,Reptilia,Squamata,4350.545,505.57,Critically Endangered
Others series,Mammalia,Anura,4293.5,2418.68,Near Threatened
Value less,Mammalia,Primates,3797.488,1302.3,Near Threatened
Water most,Mammalia,Carnivora,4191.543,1069.72,Near Threatened
Dream company,Amphibia,Squamata,817.149,2745.24,Critically Endangered
If early,Actinopterygii,Squamata,598.743,2282.36,Endangered
Within its,Reptilia,Rodentia,3434.525,321.76,Endangered
Husband eight,Mammalia,Passeriformes,930.139,2384.97,Endangered
Age as,Reptilia,Passeriformes,867.17,2558.46,Vulnerable
After respond,Reptilia,Carnivora,2180.329,2415.67,Least Concern
Section yes,Amphibia,Primates,2566.733,2251.14,Extinct in the Wild
Go project,Actinopterygii,Anura,191.602,2014.48,Critically Endangered
Today contain,Amphibia,Passeriformes,909.693,317.31,Critically Endangered
Level central,Reptilia,Primates,645.019,2929.99,Least Concern
Themselves election,Aves,Squamata,3646.437,1685.67,Vulnerable
Approach sport,Actinopterygii,Primates,3382.785,1187.25,Endangered
Bank form,Actinopterygii,Rodentia,3577.158,2873.61,Endangered
Nor evening,Reptilia,Carnivora,1218.398,1012.21,Endangered
Speak effort,Amphibia,Squamata,4218.434,2057.46,Near Threatened
Memory accept,Reptilia,Primates,1817.251,1979.09,Vulnerable
Along reveal,Actinopterygii,Primates,573.3,476.54,Least Concern
By must,Reptilia,Passeriformes,494.165,1539.15,Vulnerable
Shoulder develop,Amphibia,Carnivora,4627.166,1623.49,Critically Endangered
Appear blue,Reptilia,Anura,793.106,1802.08,Vulnerable
Like which,Amphibia,Squamata,1083.02,2690.19,Endangered
Eat low,Actinopterygii,Anura,557.11,2814.81,Least Concern
Explain always,Actinopterygii,Carnivora,505.829,808.11,Endangered
Garden center,Reptilia,Carnivora,2792.836,1941.34,Near Threatened
Toward plan,Actinopterygii,Passeriformes,2493.882,1583.59,Critically Endangered
Station head,Reptilia,Primates,1490.304,684.81,Near Threatened
Phone police,Aves,Passeriformes,1513.075,2069.83,Vulnerable
Teach strategy,Mammalia,Passeriformes,2933.327,2515.86,Near Threatened
Suddenly air,Mammalia,Rodentia,2626.575,2387.14,Extinct in the Wild
Reveal item,Reptilia,Squamata,240.796,608.89,Endangered
Method structure,Reptilia,Carnivora,3758.281,2869.6,Vulnerable
Team prove,Actinopterygii,Primates,672.49,1459.43,Near Threatened
Together unit,Actinopterygii,Carnivora,1963.617,2449.72,Least Concern
Manage may,Amphibia,Rodentia,1260.556,2982.7,Vulnerable
Table practice,Mammalia,Anura,1758.593,597.2,Least Concern
Property hospital,Aves,Carnivora,3790.351,2471.68,Endangered
Effort fund,Actinopterygii,Anura,1617.229,1916.28,Near Threatened
Play remember,Actinopterygii,Carnivora,4857.433,1245.04,Critically Endangered
Message focus,Mammalia,Primates,4537.711,52.27,Endangered
He just,Reptilia,Rodentia,4588.504,1446.44,Extinct in the Wild
Prevent tend,Reptilia,Passeriformes,685.677,2369.69,Endangered
Beyond recent,Reptilia,Carnivora,4489.933,529.37,Least Concern
Approach hair,Aves,Primates,1417.972,2657.2,Endangered
Social plant,Mammalia,Passeriformes,860.995,1056.07,Least Concern
Half no,Mammalia,Primates,2415.522,1115.15,Extinct in the Wild
Time bring,Actinopterygii,Primates,3834.411,1544.16,Endangered
Many ago,Amphibia,Rodentia,2879.808,5.02,Critically Endangered
But ok,Mammalia,Rodentia,961.811,2185.41,Critically Endangered
Forward president,Reptilia,Squamata,894.156,1178.21,Vulnerable
Fear concern,Mammalia,Carnivora,917.768,2710.3,Extinct in the Wild
Thousand meet,Aves,Carnivora,3145.802,1215.79,Endangered
Positive budget,Amphibia,Passeriformes,723.787,2949.36,Endangered
Challenge knowledge,Mammalia,Rodentia,3553.756,1167.62,Endangered
Security eat,Aves,Primates,3575.107,217.21,Vulnerable
Within tough,Reptilia,Rodentia,3438.063,804.42,Least Concern
East tree,Reptilia,Primates,3670.41,1282.58,Near Threatened
Peace Mr,Aves,Anura,1585.764,2834.06,Vulnerable
Manager sing,Amphibia,Primates,3249.271,1733.72,Endangered
Focus between,Aves,Primates,2099.684,1789.42,Endangered
Floor network,Mammalia,Anura,1074.148,2910.41,Least Concern
Lead see,Actinopterygii,Squamata,4751.101,2463.56,Critically Endangered
Strategy national,Aves,Squamata,3813.425,1253.61,Extinct in the Wild
Chance guess,Mammalia,Carnivora,1760.274,2442.16,Vulnerable
