species,class,order,weight_kg,length_cm,conservation_status
At go,Mammalia,Rodentia,524.595,2492.94,Least Concern
Media early,Amphibia,Carnivora,4221.446,2213.76,Endangered
Leg million,Actinopterygii,Squamata,372.648,28.98,Near Threatened
Partner always,Actinopterygii,Passeriformes,2227.545,872.22,Vulnerable
Those the,Aves,Anura,2256.791,1174.07,Near Threatened
Her of,Reptilia,Anura,3777.04,601.69,Critically Endangered
The however,Actinopterygii,Primates,1935.348,477.55,Near Threatened
Quite reduce,Actinopterygii,Primates,4461.572,872.04,Vulnerable
Ball company,Actinopterygii,Squamata,1156.294,2169.09,Near Threatened
Someone edge,Amphibia,Anura,787.502,1056.54,Least Concern
Scene special,Amphibia,Anura,1385.21,341.38,Vulnerable
Series case,Actinopterygii,Primates,4053.761,66.06,Least Concern
Live back,Reptilia,Carnivora,3290.841,2700.59,Endangered
Doctor leave,Reptilia,Rodentia,2136.734,155.75,Vulnerable
Three hour,Actinopterygii,Passeriformes,1816.78,2961.79,Vulnerable
On floor,Mammalia,Primates,2101.948,1127.62,Near Threatened
Care man,Reptilia,Anura,3377.336,1471.99,Endangered
Recently there,Mammalia,Carnivora,2786.254,196.79,Vulnerable
Individual fire,Actinopterygii,Passeriformes,810.379,2964.94,Critically Endangered
Boy find,Reptilia,Anura,876.052,937.13,Critically Endangered
Blood she,Aves,Rodentia,4381.383,737.94,Vulnerable
A air,Amphibia,Passeriformes,3386.94,2966.2,Endangered
Commercial push,Mammalia,Passeriformes,2999.821,1913.93,Endangered
Model pick,Amphibia,Anura,422.25,2940.59,Least Concern
Late they,Amphibia,Primates,3044.239,747.65,Least Concern
Color quite,Aves,Rodentia,966.77,1219.9,Extinct in the Wild
Be now,Actinopterygii,Primates,4291.061,2800.68,Extinct in the Wild
Travel official,Actinopterygii,Passeriformes,2894.009,1755.25,Extinct in the Wild
Also recognize,Mammalia,Passeriformes,3085.64,1873.04,Critically Endangered
Rich international,Reptilia,Carnivora,4395.74,1613.17,Critically Endangered
Center she,Reptilia,Rodentia,2714.603,1493.07,Near Threatened
Sound anyone,Aves,Carnivora,2188.114,2119.49,Near Threatened
Believe hospital,Mammalia,Passeriformes,2353.536,1330.37,Endangered
Evidence per,Aves,Anura,1264.599,860.79,Endangered
Area central,Mammalia,Primates,4238.909,2371.37,Least Concern
Information team,Amphibia,Squamata,4238.948,2788.57,Endangered
Example approach,Aves,Anura,4143.103,2385.88,Least Concern
Star service,Reptilia,Rodentia,4606.292,636.45,Least Concern
Area her,Amphibia,Anura,3901.112,605.82,Least Concern
Happy eat,Mammalia,Carnivora,263.266,78.5,Extinct in the Wild
Be and,Actinopterygii,Primates,686.736,1648.03,Extinct in the Wild
Bank fire,Amphibia,Rodentia,2779.932,828.12,Least Concern
Dark deep,Amphibia,Passeriformes,2879.179,2611.3,Endangered
City parent,Reptilia,Squamata,3615.395,2149.15,Least Concern
Contain whose,Reptilia,Squamata,2414.827,2120.17,Critically Endangered
Music fact,Reptilia,Carnivora,3323.739,190.06,Near Threatened
Plan black,Aves,Passeriformes,4.132,110.15,Vulnerable
Anyone not,Reptilia,Passeriformes,3261.018,2944.68,Near Threatened
Turn policy,Aves,Squamata,4203.422,33.01,Vulnerable
Together forget,Mammalia,Anura,4492.488,1350.78,Extinct in the Wild
Cold practice,Mammalia,Passeriformes,864.669,719.19,Near Threatened
People ahead,Mammalia,Anura,1152.944,2382.04,Endangered
Possible traditional,Aves,Squamata,1995.132,442.53,Critically Endangered
Challenge high,Amphibia,Primates,1245.572,2005.98,Least Concern
Six off,Actinopterygii,Primates,1497.706,2982.99,Critically Endangered
Central however,Actinopterygii,Primates,1048.623,1514.97,Near Threatened
Me authority,Actinopterygii,Carnivora,3630.19,2229.75,Least Concern
Poor cultural,Amphibia,Passeriformes,2190.738,1386.65,Critically Endangered
Fine some,Mammalia,Passeriformes,659.205,1534.61,Extinct in the Wild
Across mission,Mammalia,Squamata,3351.764,728.1,Vulnerable
Food quite,Aves,Anura,3937.738,1993.29,Endangered
So for,Amphibia,Anura,2333.35,2579.01,Least Concern
Investment child,Mammalia,Anura,4703.353,650.91,Critically Endangered
Trade white,Mammalia,Primates,4005.88,1237.21,Endangered
Alone safe,Reptilia,Passeriformes,1048.906,1884.2,Least Concern
Decide personal,Mammalia,Primates,1521.197,145.58,Least Concern
Guess movement,Reptilia,Rodentia,4167.92,1564.64,Least Concern
Story and,Amphibia,Carnivora,1980.834,2603.49,Endangered
Skill hour,Amphibia,Squamata,3295.17,2517.51,Vulnerable
Woman argue,Actinopterygii,Squamata,1181.905,2905.96,Extinct in the Wild
First account,Actinopterygii,Rodentia,1700.867,2952.27,Near Threatened
Go character,Mammalia,Primates,1340.548,1767.66,Extinct in the Wild
Address growth,Reptilia,Primates,3183.288,1672.52,Vulnerable
Free threat,Reptilia,Rodentia,995.186,1312.95,Near Threatened
Ground miss,Mammalia,Carnivora,2792.056,2877.63,Vulnerable
Series how,Aves,Primates,2928.672,2002.03,Critically Endangered
Smile if,Aves,Passeriformes,4369.449,1620.4,Endangered
Likely toward,Reptilia,Rodentia,2369.061,475.35,Extinct in the Wild
Everybody also,Mammalia,Rodentia,1042.484,2383.9,Critically Endangered
Result music,Aves,Squamata,2342.444,2493.64,Vulnerable
Night low,Amphibia,Squamata,4167.354,1258.62,Least Concern
Law wall,Aves,Carnivora,3712.008,1946.15,Vulnerable
Tonight as,Amphibia,Primates,4714.386,418.39,Critically Endangered
Early laugh,Reptilia,Rodentia,1314.713,1104.29,Critically Endangered
Four wonder,Reptilia,Carnivora,4011.381,497.87,Critically Endangered
Color bring,Reptilia,Anura,1704.536,1758.36,Endangered
Left available,Aves,Squamata,2462.319,2122.26,Vulnerable
Very way,Mammalia,Anura,2054.13,529.41,Extinct in the Wild
Federal huge,Aves,Carnivora,1389.349,1542.05,Critically Endangered
Heavy huge,Amphibia,Rodentia,4545.79,1483.5,Least Concern
Series receive,Amphibia,Rodentia,4442.961,193.33,Extinct in the Wild
Peace role,Reptilia,Passeriformes,3970.052,958.94,Critically Endangered
Yeah option,Mammalia,Carnivora,4923.808,1875.91,Vulnerable
Discuss boy,Mammalia,Squamata,4869.188,1819.21,Least Concern
Some beautiful,Reptilia,Anura,791.596,2598.41,Least Concern
See arm,Mammalia,Anura,228.552,1185.41,Extinct in the Wild
Interesting Mrs,Mammalia,Rodentia,2894.173,1466.4,Critically Endangered
High someone,Amphibia,Passeriformes,732.604,21.33,Endangered
Least kid,Actinopterygii,Anura,431.218,1366.62,Least Concern
Son at,Amphibia,Squamata,4256.971,2089.99,Least Concern
Book learn,Aves,Carnivora,810.928,2667.41,Near Threatened
Week analysis,Amphibia,Rodentia,1434.903,2278.08,Near Threatened
Poor language,Amphibia,Anura,2024.388,1529.93,Least Concern
Degree speak,Reptilia,Anura,2071.648,2855.53,Extinct in the Wild
Off even,Reptilia,Squamata,1557.828,2324.0,Near Threatened
Toward contain,Amphibia,Squamata,310.972,2850.86,Critically Endangered
Language apply,Reptilia,Rodentia,4048.62,477.49,Vulnerable
Continue finally,Amphibia,Anura,4880.357,1156.05,Extinct in the Wild
North rule,Actinopterygii,Passeriformes,3474.201,2509.43,Near Threatened
Worry day,Aves,Passeriformes,2218.207,915.97,Endangered
Body finish,Reptilia,Anura,4701.992,2907.43,Near Threatened
Discover boy,Amphibia,Carnivora,1626.99,1386.21,Endangered
We account,Amphibia,Anura,3862.829,2319.13,Near Threatened
Marriage whose,Actinopterygii,Anura,1588.544,181.63,Near Threatened
Trouble assume,Mammalia,Squamata,617.636,1817.48,Endangered
Organization foot,Aves,Carnivora,1680.916,1935.23,Critically Endangered
Response age,Mammalia,Passeriformes,3333.201,2995.09,Critically Endangered
Who after,Mammalia,Squamata,1483.157,1341.85,Vulnerable
Such cause,Reptilia,Passeriformes,3897.241,994.64,Least Concern
Senior finish,Amphibia,Anura,2451.463,2465.02,Vulnerable
Evidence test,Actinopterygii,Squamata,4927.642,2570.6,Near Threatened
Painting million,Mammalia,Squamata,1660.318,482.89,Near Threatened
Until politics,Actinopterygii,Rodentia,1754.416,2156.25,Least Concern
Radio once,Actinopterygii,Squamata,2596.501,165.28,Vulnerable
A particular,Amphibia,Primates,1362.992,1673.61,Near Threatened
See collection,Amphibia,Passeriformes,1820.065,1640.74,Critically Endangered
Despite left,Mammalia,Anura,960.292,1953.25,Endangered
Situation various,Reptilia,Squamata,1913.828,1999.28,Vulnerable
Blood gas,Mammalia,Passeriformes,1217.349,2509.16,Vulnerable
Cup indeed,Mammalia,Rodentia,1960.372,2434.34,Extinct in the Wild
Energy win,Reptilia,Passeriformes,4202.641,745.97,Vulnerable
Act wide,Amphibia,Primates,293.459,2205.65,Vulnerable
Add idea,Aves,Carnivora,3380.409,2741.03,Extinct in the Wild
Coach condition,Mammalia,Carnivora,4062.363,1009.66,Extinct in the Wild
Establish least,Aves,Passeriformes,1252.147,1375.65,Critically Endangered
Culture protect,Reptilia,Carnivora,2789.334,525.81,Critically Endangered
