species,class,order,weight_kg,length_cm,conservation_status
Billion role,Reptilia,Primates,4756.742,1435.92,Endangered
Something police,Reptilia,Passeriformes,810.27,1851.93,Endangered
Director example,Aves,Anura,250.463,1707.56,Extinct in the Wild
During page,Amphibia,Passeriformes,4470.974,1849.35,Vulnerable
Dog magazine,Actinopterygii,Anura,4914.721,1153.13,Critically Endangered
Tv politics,Amphibia,Passeriformes,3250.997,2419.48,Endangered
Floor direction,Aves,Passeriformes,4749.611,214.84,Extinct in the Wild
Behavior lose,Mammalia,Anura,476.34,71.49,Least Concern
Spring across,Reptilia,Squamata,559.573,2177.03,Critically Endangered
Point tax,Reptilia,Anura,1837.818,2142.67,Endangered
Economic ability,Aves,Rodentia,4952.915,987.34,Least Concern
Culture per,Mammalia,Carnivora,689.463,653.27,Vulnerable
Situation west,Aves,Rodentia,2780.596,999.11,Endangered
Yet crime,Reptilia,Rodentia,1806.21,2751.42,Near Threatened
Wind lead,Amphibia,Rodentia,1957.061,1990.02,Vulnerable
Wonder feeling,Actinopterygii,Anura,4965.062,1912.32,Extinct in the Wild
Everything when,Actinopterygii,Anura,2421.606,2649.22,Endangered
Congress help,Mammalia,Rodentia,2949.063,1879.7,Critically Endangered
Ground help,Mammalia,Anura,1541.207,2097.96,Critically Endangered
Art Democrat,Mammalia,Squamata,1678.04,1147.53,Vulnerable
Heavy grow,Actinopterygii,Passeriformes,2901.633,854.8,Near Threatened
East system,Aves,Squamata,1961.873,2880.22,Least Concern
Exactly position,Mammalia,Rodentia,2087.283,1174.96,Critically Endangered
Federal improve,Amphibia,Rodentia,3767.308,213.69,Near Threatened
Suddenly especially,Mammalia,Primates,4617.906,39.35,Least Concern
Condition eat,Amphibia,Passeriformes,4441.146,1230.39,Vulnerable
Bill many,Aves,Carnivora,3837.019,2697.92,Critically Endangered
Which natural,Amphibia,Primates,904.416,1650.06,Critically Endangered
Occur central,Mammalia,Squamata,1887.237,2820.39,Vulnerable
Star try,Aves,Rodentia,687.089,1515.66,Extinct in the Wild
Return center,Actinopterygii,Primates,1234.854,1576.95,Least Concern
Each oil,Aves,Carnivora,3321.344,735.48,Extinct in the Wild
She make,Mammalia,Rodentia,914.305,52.26,Least Concern
Cultural popular,Mammalia,Passeriformes,2993.581,1420.21,Extinct in the Wild
Early strong,Amphibia,Rodentia,2671.167,272.25,Near Threatened
Without company,Aves,Carnivora,2048.123,1284.08,Critically Endangered
Sure want,Mammalia,Carnivora,133.487,2216.18,Vulnerable
Often race,Actinopterygii,Rodentia,4446.227,2889.81,Least Concern
Them interview,Actinopterygii,Primates,3795.143,1274.63,Critically Endangered
Because instead,Mammalia,Passeriformes,3965.343,2199.94,Least Concern
Investment moment,Reptilia,Passeriformes,3638.275,789.14,Near Threatened
Manage price,Aves,Carnivora,3884.814,1506.73,Least Concern
Trade teach,Amphibia,Squamata,3418.833,2674.49,Least Concern
Free person,Actinopterygii,Anura,2658.649,2083.65,Extinct in the Wild
Their customer,Actinopterygii,Primates,897.721,1360.12,Endangered
Everyone story,Mammalia,Squamata,2205.894,937.13,Near Threatened
Ever thank,Reptilia,Passeriformes,2872.183,1997.82,Endangered
Claim age,Reptilia,Squamata,3219.54,1978.85,Endangered
Bag sing,Mammalia,Squamata,3949.141,2021.38,Vulnerable
Treatment discuss,Actinopterygii,Carnivora,1229.931,2566.39,Near Threatened
Cell increase,Mammalia,Carnivora,1195.127,1399.14,Near Threatened
Perhaps return,Mammalia,Squamata,1985.971,501.17,Near Threatened
Agent plan,Mammalia,Carnivora,1016.469,2594.21,Near Threatened
Of big,Mammalia,Passeriformes,3044.094,726.74,Near Threatened
By play,Reptilia,Primates,3684.158,2382.16,Vulnerable
Time these,Mammalia,Passeriformes,776.932,1960.93,Extinct in the Wild
Arrive loss,Amphibia,Passeriformes,3280.899,2252.63,Near Threatened
Body discover,Mammalia,Passeriformes,1249.024,2562.89,Extinct in the Wild
Imagine get,Amphibia,Anura,435.779,2757.83,Endangered
Somebody information,Aves,Squamata,4980.972,1280.66,Critically Endangered
Hot moment,Amphibia,Passeriformes,1023.262,980.61,Endangered
Interest school,Reptilia,Squamata,555.849,1764.81,Endangered
Today face,Mammalia,Anura,3934.871,1425.64,Least Concern
Girl to,Amphibia,Squamata,1900.105,2825.51,Least Concern
Senior war,Actinopterygii,Carnivora,3329.33,2702.87,Near Threatened
It impact,Mammalia,Anura,419.58,1310.32,Critically Endangered
Nation trade,Actinopterygii,Passeriformes,4608.343,1682.0,Endangered
Front fire,Mammalia,Rodentia,278.673,1836.28,Least Concern
Upon letter,Actinopterygii,Passeriformes,2369.708,2740.79,Extinct in the Wild
Past degree,Actinopterygii,Primates,508.716,1450.75,Endangered
Room production,Mammalia,Anura,908.658,1116.72,Vulnerable
Natural left,Amphibia,Rodentia,1976.052,224.59,Least Concern
Employee to,Amphibia,Anura,2752.265,2946.59,Near Threatened
Ok itself,Amphibia,Squamata,1246.958,1322.69,Near Threatened
Knowledge myself,Aves,Rodentia,4969.404,2220.24,Vulnerable
School and,Amphibia,Rodentia,3511.798,705.2,Least Concern
Third kind,Mammalia,Anura,1629.624,1839.97,Vulnerable
Threat nearly,Actinopterygii,Carnivora,855.864,1863.67,Critically Endangered
