species,class,order,weight_kg,length_cm,conservation_status
Outside what,Mammalia,Squamata,3471.26,788.65,Extinct in the Wild
Feeling a,Actinopterygii,Primates,658.767,2228.58,Least Concern
Themselves the,Reptilia,Squamata,2443.758,2514.81,Vulnerable
How power,Actinopterygii,Squamata,3647.586,1838.93,Endangered
Six course,Actinopterygii,Rodentia,1134.635,1422.49,Endangered
Water your,Actinopterygii,Passeriformes,4441.531,2442.45,Critically Endangered
Nothing candidate,Aves,Primates,3865.558,893.12,Critically Endangered
Community production,Reptilia,Passeriformes,3187.959,1482.83,Near Threatened
Arrive cut,Reptilia,Passeriformes,4424.725,1525.86,Critically Endangered
Onto table,Amphibia,Carnivora,3440.767,601.98,Endangered
Charge consumer,Amphibia,Anura,79.195,1822.27,Least Concern
But game,Aves,Primates,1966.725,1980.04,Least Concern
Mouth effort,Aves,Rodentia,2604.326,2261.5,Near Threatened
Time find,Reptilia,Passeriformes,1566.015,913.2,Critically Endangered
Good space,Aves,Passeriformes,3516.296,1386.68,Vulnerable
Film admit,Amphibia,Anura,1143.986,2307.79,Near Threatened
First throughout,Amphibia,Anura,1244.096,2579.69,Vulnerable
Hold boy,Actinopterygii,Squamata,1310.367,814.68,Near Threatened
There quality,Actinopterygii,Carnivora,1710.838,2762.82,Critically Endangered
Determine well,Mammalia,Rodentia,83.64,1035.37,Least Concern
Standard speech,Reptilia,Carnivora,4235.014,628.1,Least Concern
Specific road,Reptilia,Rodentia,756.373,2941.38,Endangered
Cause wear,Aves,Rodentia,4486.641,682.94,Least Concern
Item hotel,Aves,Passeriformes,1480.086,78.57,Extinct in the Wild
Guy technology,Reptilia,Primates,943.975,105.03,Least Concern
Stock the,Aves,Squamata,3111.336,580.09,Endangered
Special treat,Mammalia,Squamata,4523.788,697.4,Endangered
Phone each,Aves,Squamata,4732.848,2482.26,Extinct in the Wild
Factor tough,Amphibia,Squamata,849.84,1508.35,Least Concern
Different I,Reptilia,Anura,1925.255,1129.68,Near Threatened
Physical these,Reptilia,Passeriformes,1236.726,1674.9,Vulnerable
Positive little,Amphibia,Squamata,2033.831,2993.17,Critically Endangered
Whom across,Mammalia,Squamata,2352.189,732.18,Least Concern
Call whole,Mammalia,Passeriformes,1512.545,242.0,Extinct in the Wild
Church adult,Amphibia,Primates,2328.648,1669.91,Endangered
Television us,Aves,Carnivora,1814.402,2191.34,Endangered
Foreign in,Mammalia,Anura,4000.895,1867.64,Critically Endangered
Let deal,Actinopterygii,Primates,3333.344,480.06,Extinct in the Wild
Range affect,Amphibia,Primates,2370.512,451.41,Endangered
Radio power,Amphibia,Rodentia,3642.1,1856.89,Extinct in the Wild
Team tend,Mammalia,Primates,663.529,2622.91,Least Concern
Responsibility city,Reptilia,Squamata,3087.957,404.23,Least Concern
Strategy thousand,Actinopterygii,Carnivora,3342.948,2188.15,Near Threatened
Citizen assume,Mammalia,Squamata,3785.285,2571.03,Vulnerable
Cover trouble,Amphibia,Carnivora,1341.574,1413.77,Critically Endangered
Program different,Amphibia,Squamata,4867.748,1628.46,Vulnerable
Deep item,Amphibia,Squamata,987.465,2926.67,Near Threatened
Make hotel,Amphibia,Squamata,3221.463,1260.85,Vulnerable
Blue true,Aves,Carnivora,4958.705,2338.42,Least Concern
World indicate,Actinopterygii,Anura,106.596,2041.51,Endangered
Send my,Reptilia,Carnivora,2712.912,1480.59,Extinct in the Wild
Home me,Amphibia,Anura,585.473,2208.74,Vulnerable
Sure save,Actinopterygii,Passeriformes,3203.962,923.81,Near Threatened
Rule wait,Reptilia,Anura,2344.351,1453.39,Least Concern
Painting certainly,Amphibia,Squamata,3434.626,1411.07,Extinct in the Wild
Put million,Reptilia,Rodentia,112.941,1068.77,Least Concern
Oil anything,Actinopterygii,Squamata,2152.024,2140.61,Vulnerable
Care measure,Aves,Carnivora,1004.971,2754.54,Least Concern
Bad factor,Reptilia,Passeriformes,1032.727,1207.41,Vulnerable
Value investment,Actinopterygii,Carnivora,963.769,2009.46,Near Threatened
Nor budget,Mammalia,Primates,4394.232,1398.2,Endangered
Sometimes first,Actinopterygii,Primates,4272.996,435.75,Extinct in the Wild
Car matter,Actinopterygii,Rodentia,13.679,1664.45,Critically Endangered
Congress training,Aves,Primates,1803.412,1423.71,Endangered
Keep suggest,Amphibia,Carnivora,2258.79,982.26,Vulnerable
Lead not,Mammalia,Rodentia,1538.791,654.6,Vulnerable
Government Mrs,Aves,Rodentia,3.656,1955.42,Extinct in the Wild
Might war,Reptilia,Rodentia,1140.031,23.75,Vulnerable
Ask deep,Reptilia,Carnivora,375.42,2617.13,Near Threatened
Office six,Reptilia,Primates,3837.135,2945.03,Critically Endangered
Receive add,Reptilia,Anura,4934.292,706.23,Near Threatened
Remember study,Actinopterygii,Rodentia,1905.352,1102.05,Extinct in the Wild
Next political,Amphibia,Squamata,1481.238,1426.67,Vulnerable
Let group,Amphibia,Passeriformes,1029.425,848.62,Extinct in the Wild
Effort even,Amphibia,Squamata,460.779,201.23,Near Threatened
On listen,Actinopterygii,Squamata,1100.944,2136.63,Least Concern
Customer tell,Amphibia,Primates,2063.325,1295.23,Endangered
Election act,Aves,Primates,4771.915,2658.05,Endangered
Accept action,Actinopterygii,Rodentia,655.765,1594.03,Near Threatened
Scientist friend,Mammalia,Passeriformes,2628.982,1570.04,Least Concern
Among or,Aves,Squamata,1679.955,411.83,Vulnerable
Interesting plan,Actinopterygii,Squamata,4291.36,1259.77,Near Threatened
Deep few,Aves,Primates,1673.784,2105.49,Extinct in the Wild
Population instead,Amphibia,Squamata,4832.269,1995.1,Critically Endangered
Police law,Reptilia,Rodentia,501.921,616.95,Endangered
Sit let,Aves,Squamata,4326.703,769.66,Near Threatened
Local building,Aves,Squamata,2765.754,542.97,Endangered
Where no,Reptilia,Carnivora,521.997,1618.42,Extinct in the Wild
Meet newspaper,Mammalia,Rodentia,663.927,147.81,Critically Endangered
Resource that,Amphibia,Primates,3666.31,772.67,Least Concern
Raise design,Reptilia,Carnivora,3528.734,2088.62,Near Threatened
Hospital area,Amphibia,Primates,3345.386,1774.17,Critically Endangered
Most final,Mammalia,Anura,369.894,278.42,Vulnerable
Summer nor,Amphibia,Squamata,293.256,275.54,Near Threatened
Bit bed,Mammalia,Carnivora,2239.799,2594.93,Least Concern
Part size,Aves,Carnivora,3430.674,1842.06,Endangered
More despite,Mammalia,Rodentia,4891.393,1881.51,Critically Endangered
Across because,Amphibia,Primates,365.028,119.02,Least Concern
Pass employee,Aves,Anura,3375.711,2427.24,Endangered
Become catch,Actinopterygii,Anura,100.21,46.49,Least Concern
Order low,Mammalia,Primates,3646.23,1575.26,Extinct in the Wild
Expect late,Actinopterygii,Primates,3300.468,2803.23,Endangered
Suffer law,Aves,Primates,73.503,1544.61,Critically Endangered
Art teach,Actinopterygii,Anura,2012.696,2971.14,Endangered
Treatment almost,Actinopterygii,Rodentia,1381.754,568.45,Extinct in the Wild
Continue medical,Mammalia,Carnivora,3082.598,857.11,Near Threatened
Practice we,Mammalia,Primates,4142.358,2229.12,Near Threatened
Executive left,Actinopterygii,Primates,138.431,1634.66,Vulnerable
Agent truth,Reptilia,Passeriformes,1818.27,2759.3,Extinct in the Wild
Police read,Mammalia,Passeriformes,2345.209,189.1,Vulnerable
Role scientist,Aves,Squamata,3025.469,939.63,Critically Endangered
Position tell,Amphibia,Rodentia,507.685,2121.03,Critically Endangered
Get design,Reptilia,Anura,4597.569,996.99,Endangered
Management personal,Mammalia,Anura,2057.994,593.68,Critically Endangered
Majority pay,Amphibia,Anura,2621.722,2430.23,Least Concern
