species,class,order,weight_kg,length_cm,conservation_status
Feeling husband,Aves,Anura,1629.891,2818.92,Endangered
Available close,Mammalia,Squamata,4121.424,1700.18,Extinct in the Wild
Wish mean,Mammalia,Primates,4419.969,621.29,Critically Endangered
Discover station,Reptilia,Anura,1318.156,2012.42,Vulnerable
Number high,Mammalia,Rodentia,3253.949,450.56,Vulnerable
Tonight one,Aves,Passeriformes,776.465,2999.15,Near Threatened
Fund million,Amphibia,Carnivora,4353.278,2514.88,Endangered
Lawyer these,Mammalia,Primates,1514.463,1435.91,Vulnerable
Significant listen,Mammalia,Primates,4214.139,783.77,Critically Endangered
Perhaps learn,Mammalia,Squamata,4551.318,2786.79,Critically Endangered
Cover relationship,Actinopterygii,Squamata,1573.97,2841.07,Critically Endangered
Family stay,Aves,Anura,1132.436,1710.8,Critically Endangered
Important make,Mammalia,Squamata,2956.529,892.93,Critically Endangered
At play,Amphibia,Primates,513.91,2822.61,Vulnerable
Statement sport,Mammalia,Primates,1777.508,445.8,Vulnerable
Security it,Amphibia,Carnivora,3842.036,2174.18,Near Threatened
After range,Mammalia,Rodentia,3318.029,713.24,Least Concern
Can leave,Aves,Passeriformes,368.614,1872.26,Vulnerable
Blue along,Actinopterygii,Primates,83.569,1717.27,Endangered
Feel but,Aves,Squamata,1423.016,2427.9,Critically Endangered
Way we,Mammalia,Anura,985.863,1858.5,Least Concern
Cost image,Actinopterygii,Anura,15.632,1450.53,Vulnerable
Act surface,Aves,Passeriformes,2072.715,9.41,Extinct in the Wild
Strong entire,Aves,Passeriformes,1605.806,1231.62,Extinct in the Wild
Finally often,Reptilia,Passeriformes,2708.419,1278.84,Extinct in the Wild
Radio money,Mammalia,Squamata,1404.104,2001.92,Extinct in the Wild
Old opportunity,Mammalia,Squamata,2278.48,1106.12,Vulnerable
Require child,Actinopterygii,Carnivora,881.392,2007.71,Extinct in the Wild
Clear fact,Amphibia,Rodentia,2939.473,2337.29,Critically Endangered
Western list,Aves,Anura,4824.505,1736.19,Near Threatened
After force,Actinopterygii,Passeriformes,4991.622,1866.58,Critically Endangered
Around activity,Aves,Squamata,3822.652,1221.03,Least Concern
Television whatever,Amphibia,Squamata,1708.988,2253.36,Critically Endangered
After learn,Amphibia,Squamata,1938.59,870.39,Endangered
American old,Aves,Primates,2231.454,1755.68,Least Concern
Blood identify,Amphibia,Squamata,3468.315,2267.79,Near Threatened
The among,Amphibia,Carnivora,411.741,1626.19,Endangered
Talk similar,Actinopterygii,Anura,1480.695,763.03,Extinct in the Wild
Green drug,Amphibia,Primates,1143.415,974.12,Vulnerable
Goal not,Reptilia,Primates,3984.809,1519.89,Vulnerable
Already message,Reptilia,Passeriformes,1466.066,323.9,Near Threatened
