species,class,order,weight_kg,length_cm,conservation_status
Something glass,Aves,Primates,446.023,2877.43,Endangered
Write data,Amphibia,Squamata,4226.127,2115.99,Near Threatened
Expert rise,Actinopterygii,Carnivora,3048.035,1955.62,Critically Endangered
Level develop,Reptilia,Passeriformes,4289.312,1938.85,Critically Endangered
Down process,Reptilia,Anura,3751.453,1514.15,Vulnerable
Rule second,Actinopterygii,Primates,4333.1,478.79,Critically Endangered
Focus likely,Actinopterygii,Anura,2316.942,1814.74,Critically Endangered
Worry anything,Reptilia,Rodentia,1230.995,112.72,Endangered
Poor party,Aves,Rodentia,4398.115,251.7,Critically Endangered
Eat short,Actinopterygii,Rodentia,2542.187,1635.28,Critically Endangered
Man indicate,Mammalia,Carnivora,692.895,2337.62,Vulnerable
Sometimes avoid,Reptilia,Passeriformes,4868.57,1981.73,Near Threatened
Government present,Aves,Primates,171.984,815.03,Least Concern
Book investment,Reptilia,Passeriformes,395.996,2715.79,Extinct in the Wild
Program draw,Reptilia,Rodentia,3859.819,970.16,Extinct in the Wild
Why evening,Amphibia,Anura,486.026,1592.32,Critically Endangered
Big begin,Aves,Anura,4510.597,819.49,Vulnerable
Ask current,Reptilia,Passeriformes,4611.277,115.55,Near Threatened
End coach,Actinopterygii,Primates,516.176,391.81,Endangered
Product feeling,Mammalia,Squamata,2881.034,1448.68,Near Threatened
Total fear,Aves,Squamata,3054.211,155.22,Near Threatened
Middle my,Reptilia,Anura,4997.08,1431.67,Least Concern
Science body,Mammalia,Rodentia,91.375,14.6,Vulnerable
Require us,Reptilia,Passeriformes,4395.624,2620.09,Endangered
Citizen subject,Mammalia,Squamata,1183.112,226.77,Critically Endangered
All prevent,Reptilia,Anura,2041.719,1002.44,Near Threatened
Land and,Reptilia,Primates,1075.831,2516.26,Endangered
Certainly size,Reptilia,Rodentia,3200.017,729.56,Vulnerable
Audience participant,Reptilia,Passeriformes,2788.917,2024.24,Least Concern
Beautiful laugh,Reptilia,Rodentia,2832.994,2950.58,Near Threatened
Trouble machine,Amphibia,Primates,1231.529,804.03,Near Threatened
My citizen,Aves,Passeriformes,3571.565,332.99,Endangered
Early there,Reptilia,Primates,732.199,1559.23,Critically Endangered
Eye perform,Aves,Anura,4606.04,1239.84,Extinct in the Wild
Protect turn,Aves,Carnivora,2876.534,75.2,Endangered
Write worry,Reptilia,Carnivora,723.16,2194.57,Near Threatened
Way somebody,Mammalia,Squamata,3252.607,1341.27,Extinct in the Wild
Member argue,Mammalia,Rodentia,4889.85,91.24,Critically Endangered
Hit lose,Mammalia,Carnivora,640.435,1938.12,Least Concern
Organization road,Reptilia,Primates,319.554,2801.46,Endangered
Tv foreign,Mammalia,Anura,810.102,2939.08,Least Concern
View poor,Amphibia,Primates,4513.788,2367.66,Critically Endangered
Form computer,Mammalia,Passeriformes,2168.094,1407.7,Critically Endangered
Industry although,Reptilia,Anura,1108.082,2604.33,Near Threatened
Create care,Reptilia,Anura,1632.688,356.56,Extinct in the Wild
Protect skill,Mammalia,Carnivora,2965.986,485.33,Extinct in the Wild
Travel central,Actinopterygii,Primates,4103.892,737.78,Endangered
Five represent,Amphibia,Rodentia,3878.285,945.34,Vulnerable
Success team,Reptilia,Passeriformes,4282.827,2263.8,Critically Endangered
Easy board,Amphibia,Primates,1246.788,2611.06,Least Concern
Morning safe,Mammalia,Rodentia,3558.116,1692.85,Least Concern
Common traditional,Mammalia,Squamata,2372.004,2505.59,Critically Endangered
Country simply,Actinopterygii,Rodentia,4066.196,2193.46,Critically Endangered
Grow across,Amphibia,Squamata,2640.554,652.29,Vulnerable
Star feeling,Actinopterygii,Primates,139.813,1964.01,Critically Endangered
Specific city,Actinopterygii,Carnivora,4563.515,2089.84,Least Concern
Who painting,Reptilia,Carnivora,3363.643,1766.59,Vulnerable
Stop officer,Aves,Primates,1824.323,1528.17,Critically Endangered
Your collection,Actinopterygii,Squamata,2499.56,2101.8,Near Threatened
Medical understand,Aves,Anura,1533.267,890.02,Vulnerable
Light call,Reptilia,Primates,1977.495,2343.4,Extinct in the Wild
Night owner,Actinopterygii,Rodentia,2739.965,2249.33,Endangered
Analysis author,Mammalia,Carnivora,771.861,871.88,Least Concern
Rock two,Reptilia,Primates,3554.789,371.74,Least Concern
Event project,Amphibia,Anura,2835.093,1945.53,Near Threatened
Memory research,Actinopterygii,Rodentia,584.003,304.33,Least Concern
Life production,Amphibia,Carnivora,2939.281,751.76,Endangered
Couple gun,Amphibia,Rodentia,934.73,73.65,Vulnerable
Sound exist,Aves,Passeriformes,3527.628,1139.9,Critically Endangered
Role ok,Mammalia,Primates,185.857,2610.69,Near Threatened
Pay story,Amphibia,Squamata,4403.55,2611.68,Near Threatened
If although,Mammalia,Rodentia,2856.858,1314.07,Critically Endangered
Mean knowledge,Amphibia,Primates,4232.952,1786.46,Least Concern
Ability model,Reptilia,Rodentia,1151.336,2769.27,Near Threatened
Whom film,Amphibia,Carnivora,3057.18,859.68,Least Concern
North real,Mammalia,Squamata,2176.292,657.67,Least Concern
Attack behavior,Actinopterygii,Passeriformes,2762.655,2570.11,Vulnerable
Somebody population,Amphibia,Anura,4029.112,899.29,Least Concern
