species,class,order,weight_kg,length_cm,conservation_status
Home goal,Reptilia,Carnivora,210.936,1536.38,Vulnerable
Surface option,Reptilia,Anura,4733.259,1922.18,Extinct in the Wild
Build throw,Reptilia,Carnivora,3835.277,2254.72,Extinct in the Wild
Democratic whatever,Reptilia,Primates,2050.361,593.44,Critically Endangered
My paper,Mammalia,Passeriformes,4724.588,1041.65,Least Concern
Leader born,Actinopterygii,Anura,4895.484,746.41,Extinct in the Wild
Someone nor,Amphibia,Primates,1525.079,240.2,Critically Endangered
Tree day,Reptilia,Primates,4272.959,56.9,Endangered
Manager case,Mammalia,Carnivora,4570.562,2462.45,Vulnerable
Evening traditional,Aves,Anura,794.134,2458.56,Critically Endangered
Final behavior,Amphibia,Carnivora,1877.873,1172.13,Extinct in the Wild
Conference affect,Mammalia,Passeriformes,4872.754,58.05,Vulnerable
Receive public,Actinopterygii,Squamata,843.853,2291.8,Least Concern
Girl line,Aves,Carnivora,1631.297,156.07,Near Threatened
Forget toward,Mammalia,Squamata,204.475,33.82,Least Concern
Music down,Reptilia,Primates,610.964,2563.92,Near Threatened
Where stage,Mammalia,Primates,1741.919,1472.63,Endangered
Fast leader,Amphibia,Carnivora,2030.943,742.67,Critically Endangered
Administration follow,Amphibia,Carnivora,492.996,974.22,Endangered
Clearly discussion,Actinopterygii,Passeriformes,2949.734,482.27,Least Concern
Apply west,Amphibia,Squamata,4432.935,785.11,Near Threatened
Thank thank,Mammalia,Primates,766.338,1194.65,Critically Endangered
Chance put,Reptilia,Primates,3990.663,7.59,Least Concern
Everybody simply,Aves,Squamata,2143.408,2207.13,Least Concern
Mrs such,Aves,Anura,4829.567,2518.7,Vulnerable
Serve artist,Amphibia,Rodentia,4731.327,2308.11,Vulnerable
Of event,Reptilia,Passeriformes,4220.754,1201.67,Vulnerable
Week language,Amphibia,Anura,354.357,951.51,Vulnerable
Management again,Actinopterygii,Primates,59.273,913.84,Endangered
Tree table,Mammalia,Anura,1035.266,2078.89,Critically Endangered
Soldier main,Actinopterygii,Anura,2896.085,2266.19,Vulnerable
Response strategy,Actinopterygii,Squamata,1739.134,1836.18,Least Concern
Ever learn,Reptilia,Rodentia,4729.407,856.61,Critically Endangered
