species,class,order,weight_kg,length_cm,conservation_status
Admit fire,Actinopterygii,Rodentia,3483.759,1075.2,Near Threatened
Deal scientist,Actinopterygii,Squamata,3481.521,2990.91,Critically Endangered
Building world,Aves,Rodentia,3415.166,1189.37,Near Threatened
Stay office,Actinopterygii,Primates,695.429,1677.35,Vulnerable
Third decision,Actinopterygii,Passeriformes,3064.277,62.11,Near Threatened
Space pressure,Aves,Passeriformes,600.457,2238.15,Vulnerable
Return fall,Mammalia,Passeriformes,3366.118,2075.38,Near Threatened
Join early,Amphibia,Primates,4682.638,912.51,Extinct in the Wild
Themselves trouble,Actinopterygii,Primates,3222.252,2999.78,Least Concern
Realize born,Actinopterygii,Squamata,423.421,1966.73,Near Threatened
Should safe,Amphibia,Rodentia,1109.337,2331.32,Endangered
House rich,Amphibia,Carnivora,3946.112,1698.89,Critically Endangered
Carry four,Actinopterygii,Passeriformes,3117.62,2024.45,Least Concern
Move method,Aves,Carnivora,4528.662,2000.25,Extinct in the Wild
Girl both,Amphibia,Primates,4314.679,819.07,Vulnerable
Get central,Actinopterygii,Squamata,882.345,2909.48,Extinct in the Wild
Social ten,Reptilia,Rodentia,1663.485,17.77,Critically Endangered
At argue,Actinopterygii,Anura,4052.951,2032.36,Extinct in the Wild
Poor lot,Mammalia,Primates,2901.713,980.86,Near Threatened
Simple economy,Aves,Primates,386.818,1298.22,Vulnerable
Mission these,Amphibia,Anura,2343.261,1109.83,Critically Endangered
Especially would,Aves,Primates,3186.69,1147.25,Near Threatened
Protect drug,Aves,Carnivora,2214.286,1713.37,Endangered
Truth after,Actinopterygii,Rodentia,3748.036,477.95,Extinct in the Wild
Own bit,Actinopterygii,Rodentia,4967.822,1259.37,Endangered
Minute claim,Actinopterygii,Primates,4958.7,85.41,Extinct in the Wild
Husband thank,Amphibia,Squamata,3048.355,250.61,Endangered
Pick fill,Aves,Anura,4448.362,2910.27,Critically Endangered
Home attorney,Actinopterygii,Squamata,3163.382,1454.31,Endangered
Happy his,Amphibia,Passeriformes,2381.365,1410.46,Least Concern
Scientist difference,Aves,Primates,906.837,573.17,Vulnerable
Pay new,Aves,Anura,509.316,109.33,Vulnerable
Field five,Reptilia,Squamata,2398.043,2068.43,Extinct in the Wild
Interview the,Amphibia,Passeriformes,4602.571,12.98,Endangered
Choice trade,Reptilia,Rodentia,3770.652,1746.74,Near Threatened
Enter of,Aves,Rodentia,996.463,1864.65,Vulnerable
Red entire,Mammalia,Anura,446.083,532.52,Endangered
Forward them,Reptilia,Anura,4728.207,546.38,Endangered
Whose series,Mammalia,Rodentia,4765.799,950.39,Critically Endangered
Radio action,Actinopterygii,Rodentia,2860.343,2961.57,Near Threatened
Certain public,Aves,Rodentia,1294.373,2333.43,Endangered
Democrat half,Actinopterygii,Carnivora,2834.455,2087.26,Least Concern
Reason wish,Mammalia,Primates,2757.595,2459.18,Extinct in the Wild
Score entire,Aves,Rodentia,7.285,2703.61,Near Threatened
Since actually,Aves,Anura,643.66,1240.25,Critically Endangered
Culture would,Mammalia,Squamata,728.499,965.8,Endangered
Prove hospital,Actinopterygii,Squamata,3662.169,1580.55,Vulnerable
Or might,Actinopterygii,Squamata,3423.431,258.54,Extinct in the Wild
Lead you,Mammalia,Primates,315.314,2939.93,Endangered
List find,Actinopterygii,Primates,4915.066,2723.19,Least Concern
Government design,Amphibia,Rodentia,3432.876,1280.59,Critically Endangered
Strong investment,Amphibia,Squamata,3510.344,2206.78,Endangered
Price eye,Reptilia,Carnivora,697.609,1375.46,Critically Endangered
Ten system,Reptilia,Primates,3900.647,1966.3,Vulnerable
Site represent,Mammalia,Rodentia,965.497,173.75,Extinct in the Wild
Hotel concern,Reptilia,Rodentia,3374.659,601.02,Near Threatened
Wind table,Aves,Carnivora,4252.045,2273.34,Near Threatened
Indicate hold,Actinopterygii,Primates,2027.142,343.59,Vulnerable
Response black,Reptilia,Anura,606.26,2756.18,Vulnerable
Raise necessary,Mammalia,Rodentia,2827.319,1288.86,Vulnerable
Bad whom,Aves,Anura,861.424,567.97,Near Threatened
Go fire,Amphibia,Anura,2296.653,2620.64,Least Concern
Structure ten,Mammalia,Primates,3835.793,1930.8,Extinct in the Wild
A ago,Reptilia,Squamata,364.739,1147.61,Vulnerable
Between age,Actinopterygii,Primates,4354.041,669.82,Extinct in the Wild
Value through,Actinopterygii,Anura,4806.918,1787.63,Vulnerable
Town will,Aves,Squamata,3100.647,2035.0,Endangered
Break push,Actinopterygii,Passeriformes,3780.454,215.37,Endangered
Campaign production,Aves,Passeriformes,3817.102,2428.1,Endangered
Prepare network,Reptilia,Anura,1966.262,1146.06,Critically Endangered
Cultural body,Reptilia,Rodentia,2483.618,975.12,Critically Endangered
Onto size,Amphibia,Passeriformes,3378.726,1270.35,Critically Endangered
Wear unit,Actinopterygii,Primates,1953.186,2115.08,Critically Endangered
Beautiful sort,Amphibia,Anura,1981.792,1515.22,Least Concern
Three know,Reptilia,Anura,2866.856,1836.69,Least Concern
Bill week,Reptilia,Carnivora,4701.24,2699.94,Critically Endangered
Along prepare,Mammalia,Rodentia,4399.255,1879.87,Endangered
Kid whole,Mammalia,Carnivora,4540.488,1885.13,Endangered
Seven force,Amphibia,Squamata,3673.654,1478.6,Near Threatened
Southern sound,Aves,Carnivora,4126.502,626.62,Vulnerable
Move computer,Mammalia,Squamata,2743.33,2993.34,Least Concern
Network event,Actinopterygii,Passeriformes,2556.402,2849.86,Near Threatened
Two water,Actinopterygii,Carnivora,4921.208,2701.62,Vulnerable
No raise,Aves,Carnivora,1284.723,1594.5,Vulnerable
Whether issue,Reptilia,Anura,808.114,2761.05,Endangered
Race knowledge,Amphibia,Squamata,515.387,512.86,Endangered
Get suggest,Reptilia,Squamata,1287.297,1548.6,Near Threatened
Ago choice,Mammalia,Primates,2199.657,2793.21,Endangered
Likely your,Aves,Passeriformes,4265.395,2181.29,Least Concern
Government again,Mammalia,Rodentia,1867.249,1106.95,Critically Endangered
Tv open,Aves,Passeriformes,4520.722,798.07,Critically Endangered
Continue will,Amphibia,Primates,650.693,533.0,Critically Endangered
Customer dog,Aves,Passeriformes,1561.317,2892.97,Near Threatened
American data,Amphibia,Passeriformes,4247.883,1404.75,Vulnerable
Back writer,Mammalia,Passeriformes,4714.964,1917.85,Near Threatened
Baby chair,Aves,Passeriformes,102.163,2660.59,Endangered
Report region,Actinopterygii,Primates,2931.636,1750.58,Least Concern
Walk somebody,Aves,Anura,4086.505,1671.01,Near Threatened
Air season,Mammalia,Passeriformes,31.465,2450.67,Near Threatened
Service interesting,Aves,Squamata,2948.991,1429.65,Least Concern
Energy special,Mammalia,Anura,3154.369,2454.64,Critically Endangered
Should far,Aves,Passeriformes,3919.895,1564.29,Near Threatened
Paper present,Aves,Rodentia,4858.715,2171.15,Endangered
Career political,Mammalia,Primates,3767.719,34.15,Critically Endangered
Almost section,Amphibia,Primates,4421.022,598.56,Extinct in the Wild
Not indeed,Aves,Rodentia,95.26,2566.46,Endangered
Respond keep,Mammalia,Squamata,637.634,1890.75,Least Concern
Adult Mrs,Actinopterygii,Squamata,4573.965,1330.61,Critically Endangered
Instead price,Aves,Anura,735.695,2093.11,Least Concern
Democratic city,Aves,Anura,3527.272,734.32,Extinct in the Wild
View possible,Amphibia,Anura,2600.944,930.45,Endangered
Hand series,Aves,Passeriformes,4769.734,138.08,Vulnerable
Nice within,Amphibia,Squamata,2565.633,1491.52,Least Concern
Them professional,Amphibia,Passeriformes,2451.733,225.25,Extinct in the Wild
