species,class,order,weight_kg,length_cm,conservation_status
Sort worry,Aves,Primates,1825.387,1939.78,Least Concern
Stand war,Mammalia,Rodentia,3149.226,622.03,Least Concern
Career do,Mammalia,Primates,716.891,2447.61,Near Threatened
Low young,Actinopterygii,Rodentia,4270.034,452.08,Extinct in the Wild
Issue recognize,Amphibia,Anura,3320.953,1929.75,Near Threatened
Attention reason,Actinopterygii,Rodentia,648.844,960.69,Extinct in the Wild
Wall far,Mammalia,Primates,4339.583,1734.07,Least Concern
Manage continue,Amphibia,Anura,2634.375,2454.62,Near Threatened
Easy seem,Amphibia,Squamata,1293.472,543.97,Critically Endangered
Child lot,Actinopterygii,Squamata,3381.664,2413.49,Extinct in the Wild
Ability long,Mammalia,Anura,4110.665,308.96,Endangered
Teacher participant,Actinopterygii,Anura,1236.766,1731.79,Near Threatened
Myself adult,Reptilia,Squamata,1454.754,856.32,Critically Endangered
Green stay,Aves,Passeriformes,3458.567,562.83,Least Concern
Hand now,Reptilia,Carnivora,2500.218,2665.4,Endangered
Could expect,Mammalia,Rodentia,2253.102,1128.63,Least Concern
Another employee,Aves,Passeriformes,2824.947,1114.44,Critically Endangered
Respond coach,Amphibia,Primates,2437.549,898.75,Critically Endangered
Resource none,Actinopterygii,Rodentia,3218.964,1861.42,Near Threatened
Agent manage,Mammalia,Passeriformes,1523.332,1630.64,Critically Endangered
Enough movement,Aves,Anura,1969.663,1835.32,Endangered
Possible detail,Actinopterygii,Anura,2557.608,548.83,Near Threatened
Pretty risk,Aves,Squamata,4917.446,1196.0,Least Concern
Get security,Actinopterygii,Carnivora,1684.353,2398.27,Vulnerable
White place,Actinopterygii,Carnivora,2738.479,2631.69,Vulnerable
Staff fight,Actinopterygii,Carnivora,4519.523,691.01,Endangered
Follow foot,Aves,Primates,1455.974,604.56,Extinct in the Wild
Thought television,Reptilia,Squamata,2462.132,2432.13,Endangered
Draw easy,Mammalia,Anura,4257.721,2383.63,Extinct in the Wild
Compare parent,Actinopterygii,Anura,1111.917,185.4,Least Concern
Live perform,Amphibia,Rodentia,364.979,318.73,Critically Endangered
Bag knowledge,Amphibia,Rodentia,3399.221,2041.72,Near Threatened
Partner pick,Mammalia,Passeriformes,1984.763,988.4,Near Threatened
Later sound,Actinopterygii,Carnivora,2879.191,88.59,Critically Endangered
Why this,Amphibia,Anura,510.92,1978.8,Endangered
Ever political,Actinopterygii,Squamata,1958.607,774.84,Critically Endangered
Herself order,Reptilia,Passeriformes,1772.942,85.07,Extinct in the Wild
Begin same,Actinopterygii,Anura,1685.334,1269.42,Endangered
Agency hour,Mammalia,Squamata,3301.602,2495.63,Near Threatened
Institution down,Actinopterygii,Carnivora,372.566,1879.5,Endangered
Pm tell,Aves,Carnivora,2554.452,1107.16,Vulnerable
Range wall,Mammalia,Squamata,1072.087,1368.78,Least Concern
Manager ever,Amphibia,Anura,2407.332,2637.57,Critically Endangered
Possible interesting,Aves,Primates,656.769,1571.75,Endangered
Fear power,Amphibia,Anura,3245.62,366.05,Vulnerable
Picture technology,Reptilia,Primates,3469.99,2154.47,Endangered
So wait,Mammalia,Carnivora,1629.322,409.82,Critically Endangered
Friend soon,Aves,Anura,391.45,2942.25,Least Concern
Address result,Reptilia,Passeriformes,3905.688,1962.22,Least Concern
Case full,Mammalia,Primates,902.545,1505.26,Critically Endangered
Common free,Reptilia,Rodentia,4657.029,1275.43,Vulnerable
Suggest be,Aves,Primates,3200.814,2516.05,Least Concern
Difference clearly,Aves,Carnivora,4011.55,881.6,Endangered
Out put,Actinopterygii,Squamata,2953.798,1442.64,Vulnerable
Single report,Actinopterygii,Primates,3556.401,878.57,Endangered
Rule toward,Mammalia,Anura,1587.626,1891.64,Extinct in the Wild
Shake everybody,Actinopterygii,Squamata,3880.583,556.29,Critically Endangered
Whose Mrs,Aves,Squamata,2388.975,2235.39,Critically Endangered
Move material,Aves,Passeriformes,4426.235,659.42,Extinct in the Wild
Apply kid,Aves,Passeriformes,2736.321,2664.72,Extinct in the Wild
Rise discuss,Aves,Primates,512.834,771.75,Near Threatened
Top way,Reptilia,Squamata,678.959,2291.63,Vulnerable
Language notice,Reptilia,Carnivora,2005.719,444.24,Critically Endangered
Picture attack,Amphibia,Anura,2854.907,1127.53,Least Concern
Current again,Actinopterygii,Primates,2222.002,1170.89,Near Threatened
Movement until,Aves,Rodentia,4933.0,87.55,Near Threatened
Daughter risk,Amphibia,Carnivora,4746.867,1857.25,Critically Endangered
Movement rise,Reptilia,Anura,1784.079,1404.25,Near Threatened
Understand two,Mammalia,Passeriformes,4164.404,1420.51,Extinct in the Wild
Economy four,Aves,Anura,2774.796,1144.01,Near Threatened
Break give,Mammalia,Primates,1491.09,2515.48,Extinct in the Wild
Success foreign,Amphibia,Passeriformes,2375.489,2865.16,Endangered
Building agency,Actinopterygii,Anura,2677.947,63.07,Critically Endangered
Again listen,Actinopterygii,Rodentia,4512.652,1259.17,Endangered
Company allow,Amphibia,Primates,804.391,2877.14,Vulnerable
Talk speech,Reptilia,Rodentia,2601.957,1903.78,Least Concern
Plant friend,Amphibia,Rodentia,1588.814,574.95,Extinct in the Wild
Yet very,Aves,Rodentia,1144.542,2208.11,Least Concern
Million interesting,Amphibia,Passeriformes,2078.673,2811.95,Extinct in the Wild
Organization black,Mammalia,Rodentia,4279.52,2166.51,Endangered
Ago left,Actinopterygii,Anura,1358.089,609.79,Least Concern
Think pick,Actinopterygii,Squamata,525.011,1989.23,Extinct in the Wild
Significant on,Aves,Carnivora,4980.816,868.67,Least Concern
Apply fish,Amphibia,Passeriformes,612.682,771.37,Vulnerable
Leave give,Aves,Passeriformes,4244.303,937.49,Extinct in the Wild
Message avoid,Amphibia,Rodentia,2809.535,553.68,Critically Endangered
Fund wish,Reptilia,Carnivora,2426.749,391.36,Least Concern
Article important,Mammalia,Rodentia,1060.415,2933.14,Critically Endangered
Every now,Actinopterygii,Rodentia,900.87,1161.6,Near Threatened
Off professional,Mammalia,Rodentia,3012.809,1981.11,Critically Endangered
Son official,Mammalia,Passeriformes,3447.019,1385.18,Endangered
But give,Aves,Rodentia,1240.403,243.94,Critically Endangered
Adult save,Actinopterygii,Carnivora,742.424,946.66,Extinct in the Wild
